frame,x0,y0,z0,sdf0,x1,y1,z1,sdf1,x2,y2,z2,sdf2,x3,y3,z3,sdf3,x4,y4,z4,sdf4,x5,y5,z5,sdf5,x6,y6,z6,sdf6,x7,y7,z7,sdf7,x8,y8,z8,sdf8,x9,y9,z9,sdf9,x10,y10,z10,sdf10,x11,y11,z11,sdf11,x12,y12,z12,sdf12,x13,y13,z13,sdf13,x14,y14,z14,sdf14,x15,y15,z15,sdf15,x16,y16,z16,sdf16,x17,y17,z17,sdf17,x18,y18,z18,sdf18,x19,y19,z19,sdf19,x20,y20,z20,sdf20,x21,y21,z21,sdf21,x22,y22,z22,sdf22,x23,y23,z23,sdf23,x24,y24,z24,sdf24
10,0.1400038,-48.66996,24.8608,55.0737,0.1400076,-23.66785,49.86151,55.14571,0.1400076,-48.67537,49.86106,69.90626,0.1400038,-23.6685,24.86225,34.54909,0.14,-48.66988,-0.1393783,49.20301,0.1400076,1.328013,49.85977,49.36358,0.14,-23.66594,-0.1353605,24.20222,0.1399962,-48.67302,-25.14284,55.20318,0.1400038,1.331532,24.86115,24.36884,0.1400076,26.32881,49.85783,55.41175,0.1399962,-23.66561,-25.14008,34.7447,0.1399924,-48.67634,-50.13889,70.10397,0.1399924,-23.67152,-50.13767,55.39492,0.1400038,26.33537,24.86258,34.97958,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.333556,-0.141856,0.1355071,0.1399962,1.33064,-25.13129,24.63889,0.1399924,1.332706,-50.13411,49.63793,0.14,26.33764,-0.1352006,24.81376,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32881,-25.13841,35.16877,0.1399924,26.32537,-50.13849,55.66062,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
11,0.1400038,-48.67837,24.86669,55.08386,0.1400076,-23.67094,49.86673,55.15176,0.1400076,-48.67487,49.86544,69.909,0.1400038,-23.67255,24.8662,34.55475,0.14,-48.66827,-0.1400688,49.2014,0.1400076,1.324785,49.86398,49.36777,0.14,-23.67314,-0.1332156,24.2094,0.1399962,-48.67269,-25.14066,55.2019,0.1400038,1.322449,24.86122,24.3688,0.1400076,26.3246,49.86128,55.41293,0.1399962,-23.66462,-25.13469,34.74015,0.1399924,-48.66686,-50.13926,70.09756,0.1399924,-23.6718,-50.14016,55.39729,0.1400038,26.3353,24.85692,34.97557,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.326915,-0.1404846,0.1320558,0.1399962,1.330341,-25.13017,24.63776,0.1399924,1.328492,-50.13468,49.63848,0.14,26.32312,-0.1382971,24.79926,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32512,-25.14387,35.17,0.1399924,26.32964,-50.13858,55.66262,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
12,0.1400038,-48.66946,24.85976,55.0728,0.1400076,-23.66417,49.86783,55.14974,0.1400076,-48.6789,49.8618,69.90927,0.1400038,-23.66871,24.86383,34.55036,0.14,-48.67051,-0.1339458,49.20362,0.1400076,1.330378,49.86533,49.36916,0.14,-23.66541,-0.1363944,24.20169,0.1399962,-48.66368,-25.13497,55.1913,0.1400038,1.330797,24.86852,24.3762,0.1400076,26.32775,49.86004,55.41325,0.1399962,-23.66447,-25.13216,34.73824,0.1399924,-48.66009,-50.13749,70.09153,0.1399924,-23.66363,-50.13258,55.38687,0.1400038,26.32862,24.86191,34.9743,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.328186,-0.1339123,0.131227,0.1399962,1.330192,-25.136,24.64359,0.1399924,1.336925,-50.13258,49.63643,0.14,26.33374,-0.1341741,24.80986,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32653,-25.13815,35.16697,0.1399924,26.32621,-50.13572,55.65853,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
13,0.1400038,-48.6638,24.86009,55.06788,0.1400076,-23.66032,49.86478,55.1453,0.1400076,-48.6581,49.86049,69.89366,0.1400038,-23.66788,24.86371,34.54969,0.14,-48.66355,-0.1295423,49.19665,0.1400076,1.340347,49.86023,49.36412,0.14,-23.66595,-0.1361841,24.20223,0.1399962,-48.66779,-25.13377,55.19441,0.1400038,1.333545,24.85775,24.36546,0.1400076,26.32817,49.86249,55.41562,0.1399962,-23.66817,-25.14046,34.74676,0.1399924,-48.67437,-50.12968,70.09604,0.1399924,-23.67116,-50.13865,55.39565,0.1400038,26.32601,24.85941,34.97069,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.334629,-0.1452548,0.1367872,0.1399962,1.333652,-25.14069,24.64832,0.1399924,1.325613,-50.13955,49.64333,0.14,26.33719,-0.1365902,24.81332,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32662,-25.14191,35.16968,0.1399924,26.32523,-50.14382,55.66531,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
14,0.1400038,-48.6678,24.86926,55.07556,0.1400076,-23.66974,49.87462,55.1583,0.1400076,-48.66187,49.87527,69.90679,0.1400038,-23.66523,24.86869,34.55136,0.14,-48.66642,-0.1349247,49.19954,0.1400076,1.331622,49.86299,49.36683,0.14,-23.66372,-0.1371416,24.20001,0.1399962,-48.66349,-25.13244,55.18999,0.1400038,1.337589,24.86598,24.37374,0.1400076,26.32413,49.86097,55.41244,0.1399962,-23.66576,-25.13567,34.74165,0.1399924,-48.6615,-50.14131,70.09524,0.1399924,-23.66583,-50.14067,55.39511,0.1400038,26.33608,24.85846,34.97721,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.328326,-0.1340845,0.1313297,0.1399962,1.337449,-25.13994,24.64762,0.1399924,1.336606,-50.13402,49.63787,0.14,26.3344,-0.1349618,24.81052,0.14,51.33,-0.1385164,49.80309,0.1399962,26.3265,-25.1403,35.16846,0.1399924,26.32595,-50.13699,55.65954,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
15,0.1400038,-48.66723,24.85979,55.07082,0.1400076,-23.67546,49.86837,55.15524,0.1400076,-48.67911,49.86398,69.91096,0.1400038,-23.67026,24.86286,34.55076,0.14,-48.66875,-0.1400779,49.20188,0.1400076,1.318988,49.86616,49.36992,0.14,-23.66637,-0.1366945,24.20265,0.1399962,-48.66325,-25.13508,55.19096,0.1400038,1.330923,24.872,24.37968,0.1400076,26.33393,49.85445,55.41106,0.1399962,-23.667,-25.13865,34.74464,0.1399924,-48.66502,-50.14161,70.09793,0.1399924,-23.6683,-50.14025,55.39582,0.1400038,26.32716,24.85329,34.96722,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.331457,-0.1309814,0.1321651,0.1399962,1.333517,-25.13054,24.63817,0.1399924,1.334496,-50.13578,49.63961,0.14,26.33275,-0.1368168,24.80889,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32665,-25.13754,35.16662,0.1399924,26.32621,-50.14035,55.66266,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
16,0.1400038,-48.66642,24.86579,55.07277,0.1400076,-23.66526,49.85811,55.14152,0.1400076,-48.66019,49.8606,69.89521,0.1400038,-23.66386,24.86347,34.54669,0.14,-48.66924,-0.1403753,49.20237,0.1400076,1.336655,49.86382,49.36768,0.14,-23.66467,-0.1379762,24.20096,0.1399962,-48.66667,-25.13609,55.19447,0.1400038,1.331334,24.86176,24.36945,0.1400076,26.33332,49.8559,55.41208,0.1399962,-23.66953,-25.13945,34.74699,0.1399924,-48.65942,-50.13949,70.09248,0.1399924,-23.6676,-50.13309,55.38909,0.1400038,26.32936,24.85807,34.97214,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.327047,-0.1380821,0.1315883,0.1399962,1.332749,-25.13527,24.64289,0.1399924,1.334291,-50.1357,49.63953,0.14,26.32157,-0.1401604,24.79773,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32793,-25.14527,35.17298,0.1399924,26.3271,-50.13393,55.65733,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
17,0.1400038,-48.67842,24.86302,55.08227,0.1400076,-23.67427,49.86462,55.15135,0.1400076,-48.67228,49.86891,69.90963,0.1400038,-23.67101,24.8631,34.55147,0.14,-48.6702,-0.1296209,49.2033,0.1400076,1.329157,49.85616,49.35999,0.14,-23.67413,-0.1339898,24.2104,0.1399962,-48.67432,-25.12575,55.19663,0.1400038,1.323575,24.86701,24.37461,0.1400076,26.33552,49.86302,55.41942,0.1399962,-23.66447,-25.12827,34.73547,0.1399924,-48.67086,-50.12634,70.09119,0.1399924,-23.66934,-50.1356,55.39211,0.1400038,26.32707,24.85762,34.97019,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.32638,-0.1371006,0.1310609,0.1399962,1.331706,-25.13638,24.64399,0.1399924,1.328602,-50.13791,49.64171,0.14,26.32974,-0.1367738,24.80587,0.14,51.33,-0.1385164,49.80309,0.1399962,26.3295,-25.13085,35.16393,0.1399924,26.33359,-50.1379,55.6638,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
18,0.1400038,-48.66928,24.85586,55.07088,0.1400076,-23.67171,49.85833,55.14458,0.1400076,-48.68073,49.85053,69.90258,0.1400038,-23.66771,24.85605,34.54414,0.14,-48.66726,-0.1442106,49.20041,0.1400076,1.327616,49.86042,49.36423,0.14,-23.66618,-0.1446248,24.20251,0.1399962,-48.66072,-25.1468,55.19399,0.1400038,1.335971,24.8639,24.37165,0.1400076,26.33411,49.85951,55.41565,0.1399962,-23.66556,-25.13886,34.74379,0.1399924,-48.65866,-50.15507,70.10301,0.1399924,-23.66323,-50.15318,55.40517,0.1400038,26.32516,24.85563,34.96744,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.327009,-0.1394966,0.1318812,0.1399962,1.340222,-25.13439,24.6421,0.1399924,1.339409,-50.1394,49.64327,0.14,26.3308,-0.1334808,24.80691,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32819,-25.13953,35.16912,0.1399924,26.32632,-50.13993,55.66233,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
19,0.1400038,-48.66556,24.86749,55.07277,0.1400076,-23.66716,49.86102,55.14497,0.1400076,-48.66262,49.86415,69.89944,0.1400038,-23.66666,24.86677,34.551,0.14,-48.67487,-0.1374961,49.208,0.1400076,1.338645,49.8583,49.36217,0.14,-23.66925,-0.1401757,24.20555,0.1399962,-48.66895,-25.14261,55.19944,0.1400038,1.333403,24.86485,24.37256,0.1400076,26.33242,49.85446,55.41039,0.1399962,-23.66762,-25.13623,34.74335,0.1399924,-48.66842,-50.1436,70.10173,0.1399924,-23.67004,-50.13517,55.39203,0.1400038,26.3295,24.85388,34.9693,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.324702,-0.1370242,0.130258,0.1399962,1.327879,-25.13225,24.63981,0.1399924,1.333248,-50.13745,49.64127,0.14,26.32772,-0.1358045,24.80385,0.14,51.33,-0.1385164,49.80309,0.1399962,26.3337,-25.13794,35.1719,0.1399924,26.33182,-50.13474,55.66018,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
20,0.1400038,-48.66419,24.87033,55.07281,0.1400076,-23.66294,49.86771,55.14909,0.1400076,-48.66081,49.87493,69.9058,0.1400038,-23.66809,24.86766,34.55264,0.14,-48.66396,-0.133026,49.19707,0.1400076,1.341205,49.86745,49.37135,0.14,-23.66153,-0.1311443,24.19778,0.1399962,-48.66961,-25.13457,55.1964,0.1400038,1.3335,24.86331,24.37102,0.1400076,26.32997,49.86501,55.41868,0.1399962,-23.66989,-25.13415,34.74346,0.1399924,-48.66933,-50.13547,70.0966,0.1399924,-23.66581,-50.13181,55.38715,0.1400038,26.3268,24.86428,34.97467,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.33194,-0.1330262,0.132822,0.1399962,1.334993,-25.1338,24.64145,0.1399924,1.329047,-50.13681,49.64061,0.14,26.33569,-0.1378848,24.81183,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32788,-25.13598,35.1664,0.1399924,26.32472,-50.1421,55.66356,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
21,0.1400038,-48.6645,24.8667,55.07146,0.1400076,-23.6642,49.86637,55.14845,0.1400076,-48.65507,49.86214,69.89268,0.1400038,-23.6648,24.86628,34.54935,0.14,-48.66518,-0.1423665,49.19832,0.1400076,1.339057,49.85386,49.35774,0.14,-23.66462,-0.1446487,24.20095,0.1399962,-48.66024,-25.13808,55.18963,0.1400038,1.336803,24.86491,24.37267,0.1400076,26.33339,49.85638,55.41253,0.1399962,-23.6627,-25.1444,34.74574,0.1399924,-48.66322,-50.14444,70.09866,0.1399924,-23.66428,-50.14541,55.39867,0.1400038,26.32799,24.8548,34.96887,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.325953,-0.1410036,0.1317202,0.1399962,1.340339,-25.13546,24.64317,0.1399924,1.336454,-50.13875,49.64259,0.14,26.33157,-0.134287,24.80769,0.14,51.33,-0.1385164,49.80309,0.1399962,26.33551,-25.14033,35.17487,0.1399924,26.32687,-50.14178,55.66423,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
22,0.1400038,-48.67385,24.8723,55.08233,0.1400076,-23.66403,49.86783,55.14968,0.1400076,-48.65776,49.8692,69.89959,0.1400038,-23.66509,24.86686,34.54996,0.14,-48.67486,-0.1310278,49.20797,0.1400076,1.341074,49.85907,49.36297,0.14,-23.6748,-0.1343854,24.21107,0.1399962,-48.67609,-25.13293,55.20145,0.1400038,1.331079,24.8633,24.37099,0.1400076,26.32789,49.86383,55.41669,0.1399962,-23.67089,-25.13597,34.74546,0.1399924,-48.6672,-50.13677,70.09602,0.1399924,-23.66695,-50.13543,55.3909,0.1400038,26.33438,24.85881,34.97624,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.331651,-0.1402794,0.1342491,0.1399962,1.332825,-25.13411,24.64173,0.1399924,1.329714,-50.13942,49.64323,0.14,26.32597,-0.137098,24.8021,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32604,-25.13321,35.16314,0.1399924,26.32742,-50.14124,55.66399,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
23,0.1400038,-48.66896,24.8713,55.07751,0.1400076,-23.66456,49.87133,55.15306,0.1400076,-48.66397,49.87213,69.90605,0.1400038,-23.66355,24.86788,34.5496,0.14,-48.67365,-0.1239786,49.20674,0.1400076,1.340665,49.86525,49.36914,0.14,-23.66817,-0.1299249,24.20441,0.1399962,-48.66795,-25.1259,55.19101,0.1400038,1.331186,24.86759,24.37527,0.1400076,26.32661,49.86436,55.41659,0.1399962,-23.66275,-25.12787,34.73399,0.1399924,-48.66044,-50.135,70.09001,0.1399924,-23.66757,-50.13692,55.39251,0.1400038,26.3346,24.86175,34.97845,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.328279,-0.1345466,0.1314058,0.1399962,1.331986,-25.12843,24.63605,0.1399924,1.337416,-50.13402,49.63787,0.14,26.32952,-0.1360825,24.80565,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32529,-25.13882,35.16656,0.1399924,26.32835,-50.13947,55.66284,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
