frame,x0,y0,z0,sdf0,x1,y1,z1,sdf1,x2,y2,z2,sdf2,x3,y3,z3,sdf3,x4,y4,z4,sdf4,x5,y5,z5,sdf5,x6,y6,z6,sdf6,x7,y7,z7,sdf7,x8,y8,z8,sdf8,x9,y9,z9,sdf9,x10,y10,z10,sdf10,x11,y11,z11,sdf11,x12,y12,z12,sdf12,x13,y13,z13,sdf13,x14,y14,z14,sdf14,x15,y15,z15,sdf15,x16,y16,z16,sdf16,x17,y17,z17,sdf17,x18,y18,z18,sdf18,x19,y19,z19,sdf19,x20,y20,z20,sdf20,x21,y21,z21,sdf21,x22,y22,z22,sdf22,x23,y23,z23,sdf23,x24,y24,z24,sdf24
0,0.1400038,-48.67453,24.86249,55.07678,0.1400076,-23.6671,49.86079,55.14297,0.1400076,-48.66977,49.85888,69.89936,0.1400038,-23.67104,24.85662,34.54408,0.14,-48.67222,-0.1427524,49.20338,0.1400076,1.334295,49.86267,49.36455,0.14,-23.67732,-0.1401723,24.20963,0.1399962,-48.6745,-25.13862,55.20083,0.1400038,1.325237,24.85806,24.36173,0.1400076,26.33564,49.86223,55.41701,0.1399962,-23.67068,-25.14278,34.74738,0.1399924,-48.67065,-50.13784,70.09782,0.1399924,-23.67365,-50.14243,55.39837,0.1400038,26.32508,24.85765,34.96603,0.1400076,51.33,49.8615,70.32623,0.1400038,51.33,24.86149,55.60953,0.14,1.326984,-0.1365029,-0.05087969,0.1399962,1.33181,-25.13643,24.64013,0.1399924,1.328537,-50.13734,49.63918,0.14,26.33056,-0.1447224,24.80285,0.14,51.33,-0.1385164,49.80114,0.1399962,26.32559,-25.14048,35.16519,0.1399924,26.32398,-50.14037,55.65992,0.1399962,51.33,-25.13853,55.73283,0.1399924,51.33,-50.13853,70.52153
1,-10.80917,-46.903,20.93436,52.92411,-5.419904,-23.53178,46.69821,52.5483,0.1765606,-47.59473,43.38041,64.66315,-14.56911,-21.82888,23.36551,35.31513,-20.90089,-45.53154,-2.116,50.60923,-5.365142,1.401777,48.56497,48.36936,-16.23686,-20.98189,-1.714297,26.94656,-9.546171,-47.47781,-24.27622,54.58881,-10.69316,2.886602,24.20309,26.05261,-2.351825,26.46194,49.67724,55.36115,-7.123344,-22.73452,-24.89496,34.66004,-0.5253282,-48.785,-47.74453,68.50309,-0.9027752,-23.78317,-49.18356,54.59681,0.08584274,26.33384,24.79645,34.92807,0.1400076,51.33,49.8615,70.32559,0.1400038,51.33,24.86149,55.60873,-7.229416,2.596568,-0.5588145,6.984659,-1.353203,1.59104,-24.87112,24.41801,-0.5673509,1.200578,-49.85904,49.36338,0.5568458,26.34682,-0.07013611,24.82164,0.14,51.33,-0.1385164,49.80024,0.7033783,26.33127,-25.0724,35.1256,0.09713449,26.33025,-50.05159,55.58267,0.1399962,51.33,-25.13853,55.73203,0.1399924,51.33,-50.13853,70.5209
2,-54.40073,-31.86957,25.33661,67.75452,-31.54418,-16.66811,47.5006,59.08223,-40.08031,-40.08094,44.1894,71.8241,-41.27861,-10.33382,25.32636,49.05264,-50.10439,-34.48145,0.5732451,60.72697,-21.86971,6.310459,49.30249,53.60037,-39.11575,-12.0058,0.1636649,40.51194,-38.9615,-39.71206,-21.29915,59.61337,-25.95384,9.481224,25.00184,36.35346,-9.551726,28.28001,49.85898,57.07913,-33.51302,-15.32356,-23.97446,43.65771,-23.51308,-44.96661,-40.53013,65.07769,-21.8718,-20.28998,-45.69232,54.3694,-8.47749,27.86725,24.87991,37.01336,0.1400076,51.33,49.8615,70.32653,0.1400038,51.33,24.86149,55.60991,-25.43016,9.025123,0.01288514,25.93705,-24.29741,7.898862,-24.94964,34.83916,-17.63394,4.147287,-48.75492,51.36155,-9.163918,28.01264,-0.07099052,27.92295,0.14,51.33,-0.1385164,49.80156,-10.76347,28.8321,-25.00604,38.3483,-10.3098,28.61864,-49.93613,57.43386,0.1399962,51.33,-25.13853,55.7332,0.1399924,51.33,-50.13853,70.52184
3,-67.52315,-21.44167,23.90236,74.09243,-49.66963,-4.675,49.12682,69.21684,-71.65472,-16.70793,47.85275,87.03784,-47.58533,-6.345963,24.26674,52.95313,-63.53777,-25.21032,-0.9097871,67.7571,-31.82648,12.83325,49.45417,59.20207,-47.4194,-6.111849,-0.773694,46.9339,-56.93247,-30.26016,-24.49106,68.49152,-30.05511,11.47344,24.53372,39.28123,-13.94017,30.66373,49.75983,58.94713,-44.48864,-8.516691,-25.48693,51.19966,-48.22103,-36.05914,-47.35247,76.25966,-33.24176,-15.88265,-46.62662,58.91353,-13.04113,30.09395,24.77688,39.68793,0.1400076,51.33,49.8615,70.32875,0.1400038,51.33,24.86149,55.61271,-28.00964,9.996081,-0.3360757,28.40485,-30.02537,11.8692,-25.37522,39.88827,-23.83275,7.145279,-49.13408,54.22157,-12.59763,29.67506,-0.1580791,30.58262,0.14,51.33,-0.1385164,49.80469,-13.84475,30.61096,-25.1108,40.52192,-10.82608,28.86484,-49.85207,57.51691,0.1399962,51.33,-25.13853,55.736,0.1399924,51.33,-50.13853,70.52405
4,-32.74587,-42.49323,22.40432,57.9352,-27.41058,-18.34196,47.80655,57.52689,-40.35878,-39.9127,46.07445,72.72204,-22.34641,-19.66174,23.35591,37.40097,-23.13919,-45.77705,-0.5241155,51.35317,-15.69134,3.710293,49.04477,50.81619,-15.02071,-22.13762,-0.2914352,26.6684,-27.96202,-43.85834,-24.97773,57.59343,-10.94731,2.555084,24.54967,26.09543,-5.363771,26.93919,49.75103,55.77594,-16.91118,-21.35381,-25.21115,36.85174,-36.11721,-39.63816,-48.31053,71.83809,-20.62994,-19.83079,-49.83823,57.04086,-3.466104,26.5941,24.83059,35.23536,0.1400076,51.33,49.8615,70.33224,0.1400038,51.33,24.86149,55.61712,-7.872565,1.986186,-0.2559366,6.609064,-7.668887,1.867366,-25.21807,25.64164,-8.458732,2.004493,-50.2106,50.29576,-2.66566,26.43242,-0.1799089,24.9691,0.14,51.33,-0.1385164,49.8096,-3.555542,26.60235,-25.15801,35.47616,-1.675328,26.39896,-50.08875,55.65315,0.1399962,51.33,-25.13853,55.74039,0.1399924,51.33,-50.13853,70.52753
5,49.83901,-35.26915,24.34037,66.41605,41.80116,-11.02024,48.80106,65.41238,57.25207,-30.75148,47.77875,81.15031,37.17156,-13.66699,24.37427,46.98126,45.11532,-37.91813,-0.2481966,59.73526,27.12374,9.207331,49.28169,56.74636,32.54102,-16.30989,-0.06948943,37.11007,41.30817,-39.79184,-24.88259,63.22961,23.54234,7.287742,24.66623,34.73848,12.182,29.42469,49.73888,58.23339,31.54935,-16.75589,-25.04163,44.13241,40.37891,-40.18557,-49.96107,76.26765,28.29207,-18.23656,-49.7939,60.31871,9.502585,28.14594,24.91323,37.7462,0.1400076,51.33,49.8615,70.33224,0.1400038,51.33,24.86149,55.61712,21.13409,5.96779,-0.1822633,22.01617,21.85377,6.286437,-25.13037,33.76172,18.92768,4.938869,-49.92674,53.33727,10.11291,28.40667,-0.1477632,28.98426,0.14,51.33,-0.1385164,49.80961,11.30631,28.95983,-25.11876,38.97652,10.66309,28.65548,-50.11866,57.87133,0.1399962,51.33,-25.13853,55.7404,0.1399924,51.33,-50.13853,70.52753
6,54.98775,-30.6904,21.855,67.07458,47.69465,-4.977632,44.55709,65.43394,68.66362,-16.96589,37.6516,80.30595,36.48857,-13.69992,23.97653,46.00167,45.78165,-37.31643,-0.5028924,59.63072,28.38089,10.51029,48.0272,56.35484,31.39902,-16.8713,-0.3797864,36.10907,45.81359,-37.20083,-25.50445,64.76894,20.85253,5.794507,24.68588,32.50626,11.06153,28.8458,49.64469,57.57526,32.05401,-16.18938,-25.36293,44.23999,57.0438,-29.58468,-46.49968,79.59064,41.63882,-9.695892,-47.45869,63.88783,7.708465,27.50777,24.9094,36.77552,0.1400076,51.33,49.8615,70.32875,0.1400038,51.33,24.86149,55.61271,18.93724,5.017666,-0.2293634,19.37525,18.49127,4.808195,-25.28302,31.3655,23.98725,7.880757,-49.48462,55.14961,8.393289,27.68692,-0.1897535,27.61223,0.14,51.33,-0.1385164,49.80469,7.292189,27.38072,-25.15872,36.76322,8.426174,27.73992,-50.13628,57.00935,0.1399962,51.33,-25.13853,55.736,0.1399924,51.33,-50.13853,70.52405
7,7.311291,-48.29654,24.39476,55.0442,12.51048,-22.62503,48.27634,54.75047,13.57987,-47.70098,48.58709,69.68736,5.253561,-23.33184,24.36362,34.38853,2.031936,-48.66557,-0.09284659,49.24733,8.541622,2.055524,48.75865,49.05288,0.2732153,-23.72928,-0.06660642,24.26459,7.661084,-48.25443,-24.44742,55.0786,1.487417,1.375726,24.78085,24.34304,1.819794,26.38434,49.77102,55.39472,4.4852,-23.40323,-24.71209,34.57065,16.5399,-47.31386,-47.84056,69.55174,13.16932,-22.40549,-48.11765,54.67434,-0.7987431,26.34485,24.90637,35.01741,0.1400076,51.33,49.8615,70.32655,0.1400038,51.33,24.86149,55.60994,-0.8286539,1.31705,-0.1075202,0.1680753,1.009004,1.347661,-25.02841,24.56132,6.935322,1.774308,-49.31593,49.34003,-1.14376,26.31404,-0.1488626,24.8008,0.14,51.33,-0.1385164,49.80159,-1.056748,26.35851,-25.14761,35.20169,1.001848,26.34067,-50.07943,55.62583,0.1399962,51.33,-25.13853,55.73323,0.1399924,51.33,-50.13853,70.52185
8,-6.857122,-47.49084,21.02959,52.83366,-20.05554,-18.09584,33.65306,43.12684,-29.30672,-36.72482,18.6035,50.82657,2.511623,-23.60347,23.6708,33.75031,1.822233,-47.52348,-3.263374,48.19462,-9.835887,2.744278,42.63105,43.30001,2.921335,-22.59486,-2.308671,23.40822,-13.67913,-45.33335,-22.75871,52.94637,6.715525,1.04648,23.95114,24.35641,0.7407057,26.3585,48.90137,54.57566,-5.780652,-22.18293,-25.64958,34.58494,-35.46344,-37.74899,-33.22795,61.71271,-21.98983,-20.39404,-45.25886,54.21674,6.968839,27.29509,24.71071,36.21634,0.1400076,51.33,49.8615,70.32559,0.1400038,51.33,24.86149,55.60873,-0.3479713,1.854364,-0.02216433,0.4238334,-6.579266,2.740582,-24.46786,24.91248,-15.40382,3.560236,-47.84413,49.84733,1.923758,26.73333,-0.2495003,25.27141,0.14,51.33,-0.1385164,49.80024,-1.802554,26.42629,-24.97049,35.16508,-6.96606,27.37197,-49.70704,56.19368,0.1399962,51.33,-25.13853,55.73203,0.1399924,51.33,-50.13853,70.5209
9,34.21178,-42.53888,23.36252,59.41243,22.41013,-20.30097,48.25933,56.68267,27.13931,-44.88442,47.23758,70.60739,29.67591,-17.77492,24.34075,41.98634,38.71144,-40.72094,-1.449555,56.20547,13.0795,2.889552,48.10991,49.29578,30.79306,-16.97767,-0.9478845,34.86804,24.53606,-44.5423,-21.75801,55.48546,20.78637,5.651013,24.59217,31.79652,8.846758,27.8987,49.59824,56.54221,22.64433,-19.71137,-24.38413,38.50069,3.307833,-47.04163,-35.22962,59.17122,6.120271,-23.38663,-43.14576,49.40816,12.07058,29.36307,24.84708,38.96018,0.1400076,51.33,49.8615,70.32593,0.1400038,51.33,24.86149,55.60914,19.52466,5.324912,-0.3734025,19.1364,17.73463,4.773391,-25.28394,30.40167,4.114036,1.367908,-45.96864,45.62231,10.00862,28.44436,-0.2249813,28.56118,0.14,51.33,-0.1385164,49.80071,10.72428,28.69354,-25.2095,38.3337,4.207567,26.67709,-49.39715,55.29067,0.1399962,51.33,-25.13853,55.73244,0.1399924,51.33,-50.13853,70.52122
