frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0,0,-0.225496,0,0,0,0.8790611,0.950913,0.3089058,-0.01848793,1,0.5,0,0,-0.5,0.225496,0,0,0,0.8806543,0.9498156,-0.05359777,0.3081843,1,1,1,0,-0.5,-0.225496,0,0,0,0.8137007,0.9982236,-0.05632942,-0.01940776,1,1,0,0,0,0.225496,0,0,0,0.9429852,0.9087876,0.2952213,0.294872,1,0.5,1,0,0.5,-0.225496,0,0,0,1.105556,0.8167682,0.5767473,-0.01587985,0,0,0,0,0.5,0.225496,0,0,0,1.160785,0.7896068,0.5575677,0.2562017,0,0,1
1,0,0.0001291806,-0.2254619,0,0.001291806,0.0003412366,0.9813415,0.957577,0.2876644,-0.01718839,1,0.5,0,0,-0.5000197,0.2255708,0,-0.0001966953,0.0007480383,0.9828106,0.9566283,-0.04991849,0.2870028,1,1,1,0,-0.499965,-0.2254625,0,0.0003501773,0.0003354251,0.9206538,0.9984829,-0.05206404,-0.01792305,1,1,0,0,6.125728E-05,0.2255638,0,0.0006125728,0.0006777048,1.041029,0.9204878,0.2764784,0.2761556,1,0.5,1,0,0.5,-0.225496,0,0,0,1.194185,0.8372747,0.5465754,-0.01504912,0,0,0,0,0.5,0.225496,0,0,0,1.246614,0.8121419,0.5301687,0.2436119,0,0,1
2,0,3.87327E-05,-0.2255027,0,-0.0009044785,-0.0004081428,1.034617,0.9605476,0.2776189,-0.01661827,1,0.5,0,0,-0.5000437,0.2254063,0,-0.0002408028,-0.001645237,1.036016,0.9596731,-0.04820508,0.2769544,1,1,1,0,-0.5000003,-0.2256047,0,-0.0003531575,-0.001422316,0.9761512,0.998592,-0.05013057,-0.01734557,1,1,0,0,4.284691E-05,0.2254167,0,-0.0001841036,-0.001470894,1.092288,0.9257573,0.2675664,0.2671731,1,0.5,1,0,0.5,-0.225496,0,0,0,1.240982,0.8466907,0.5318838,-0.01464461,0,0,0,0,0.5,0.225496,0,0,0,1.292042,0.8225662,0.5167291,0.2374364,0,0,1
3,0,1.678952E-05,-0.2255101,0,-0.0002194318,-7.376075E-05,1.128544,0.965051,0.2615937,-0.01566434,1,0.5,0,0,-0.4999333,0.2255587,0,0.001104176,0.001523793,1.129902,0.9642468,-0.0453606,0.2610946,1,1,1,0,-0.4999763,-0.2253493,0,0.0002396107,0.002553612,1.073572,0.9987644,-0.04701172,-0.01610941,1,1,0,0,8.775193E-05,0.2254471,0,0.0004490502,0.0003038347,1.183024,0.9338119,0.253168,0.2527873,1,0.5,1,0,0.5,-0.225496,0,0,0,1.324319,0.8614873,0.5075867,-0.01397562,0,0,0,0,0.5,0.225496,0,0,0,1.373109,0.8390478,0.4943653,0.2271603,0,0,1
4,0,3.507205E-05,-0.2254521,0,0.0001828253,0.0005801022,1.181032,0.9672335,0.2534367,-0.01514073,1,0.5,0,0,-0.5000311,0.2256761,0,-0.0009772182,0.001174808,1.182378,0.9664597,-0.04400382,0.2530205,1,1,1,0,-0.5000264,-0.2252982,0,-0.000500679,0.0005117059,1.127831,0.9988446,-0.04547548,-0.01554101,1,1,0,0,7.224153E-05,0.2255121,0,-0.0001551041,0.0006508827,1.233872,0.9377568,0.2457345,0.2454115,1,0.5,1,0,0.5,-0.225496,0,0,0,1.37132,0.8688786,0.4948377,-0.0136246,0,0,0,0,0.5,0.225496,0,0,0,1.418916,0.8473277,0.4825642,0.2217377,0,0,1
5,0,6.516797E-05,-0.2254888,0,0.0003009592,-0.0003677607,1.269733,0.97048,0.2407512,-0.01440264,1,0.5,0,0,-0.4998966,0.2254091,0,0.001344681,-0.002670437,1.270934,0.9698218,-0.04172748,0.2402174,1,1,1,0,-0.4999777,-0.2256088,0,0.0004866719,-0.003106743,1.219273,0.9989628,-0.04302849,-0.01489514,1,1,0,0,2.652725E-05,0.2254957,0,-0.0004571428,-0.0001645088,1.319977,0.9436876,0.2340834,0.2337918,1,0.5,1,0,0.5,-0.225496,0,0,0,1.451384,0.8801396,0.4745351,-0.0130656,0,0,0,0,0.5,0.225496,0,0,0,1.497072,0.8600042,0.4636789,0.2130599,0,0,1
6,0,4.622321E-05,-0.2255093,0,-0.0001894477,-0.000204742,1.333566,0.9725305,0.2323593,-0.0139124,1,0.5,0,0,-0.4999652,0.2256351,0,-0.0006863475,0.002260059,1.334785,0.9718846,-0.04031275,0.2319809,1,1,1,0,-0.5000138,-0.2253632,0,-0.0003609061,0.002456456,1.284915,0.9990389,-0.04146631,-0.01420974,1,1,0,0,7.997047E-05,0.2255312,0,0.0005344322,0.0003552437,1.382132,0.9474359,0.2263816,0.22609,1,0.5,1,0,0.5,-0.225496,0,0,0,1.509459,0.8874027,0.4608206,-0.01268799,0,0,0,0,0.5,0.225496,0,0,0,1.553855,0.8682203,0.4508594,0.2071694,0,0,1
7,0,4.696816E-05,-0.2254469,0,7.449562E-06,0.0006245077,1.441919,0.9755481,0.2193949,-0.01310397,1,0.5,0,0,-0.5000024,0.2256243,0,-0.000372231,-0.0001078844,1.443069,0.9749706,-0.03808535,0.2190475,1,1,1,0,-0.500048,-0.2253507,0,-0.0003415346,0.0001250207,1.396051,0.9991477,-0.03905379,-0.01337025,1,1,0,0,1.81159E-05,0.2255927,0,-0.0006185457,0.0006143749,1.487839,0.9530122,0.2143122,0.2140981,1,0.5,1,0,0.5,-0.225496,0,0,0,1.608793,0.8983502,0.4391136,-0.01209032,0,0,0,0,0.5,0.225496,0,0,0,1.651141,0.8806652,0.4304692,0.1978001,0,0,1
8,0,4.427188E-05,-0.2255416,0,-2.696281E-05,-0.0009475648,1.5006,0.9769779,0.2129583,-0.01276697,1,0.5,0,0,-0.4999169,0.2254498,0,0.0008556247,-0.001744777,1.501676,0.9764529,-0.0369275,0.2125469,1,1,1,0,-0.5000144,-0.2254994,0,0.0003355742,-0.001487285,1.456109,0.9991989,-0.03783758,-0.01303578,1,1,0,0,4.043485E-05,0.2254938,0,0.0002231895,-0.000988394,1.545187,0.9556788,0.2083137,0.2080464,1,0.5,1,0,0.5,-0.225496,0,0,0,1.662952,0.9036456,0.4281187,-0.01178759,0,0,0,0,0.5,0.225496,0,0,0,1.704259,0.8867116,0.4200958,0.1930336,0,0,1
9,0,4.909371E-05,-0.2254381,0,4.821832E-05,0.001035482,1.577194,0.9786628,0.205108,-0.01224636,1,0.5,0,0,-0.5000464,0.2254366,0,-0.001295507,-0.0001324713,1.578232,0.9781739,-0.03562953,0.2047108,1,1,1,0,-0.499969,-0.2256008,0,0.0004541874,-0.001013726,1.534379,0.9992596,-0.03635951,-0.01258408,1,1,0,0,-1.450148E-05,0.225474,0,-0.0005493633,-0.0001980364,1.620156,0.9588315,0.2009218,0.2006805,1,0.5,1,0,0.5,-0.225496,0,0,0,1.733986,0.9099752,0.4145057,-0.01141278,0,0,0,0,0.5,0.225496,0,0,0,1.774004,0.8939618,0.4072113,0.1871132,0,0,1
10,0,-2.104246E-05,-0.2253694,0,-0.0007013617,0.0006861985,1.481045,0.9765241,0.2150273,-0.01280608,1,0.5,0,0,-0.5000406,0.2255983,0,5.841255E-05,0.001617372,1.482185,0.9759629,-0.03735303,0.2147118,1,1,1,0,-0.5000364,-0.2254211,0,-0.0006735325,0.001796335,1.436122,0.9991823,-0.03823952,-0.01312993,1,1,0,0,4.9188E-05,0.2255958,0,0.0006368948,0.00121817,1.526102,0.9548081,0.2102802,0.2100565,1,0.5,1,0,0.5,-0.225496,0,0,0,1.644893,0.9019278,0.4317232,-0.01188684,0,0,0,0,0.5,0.225496,0,0,0,1.686541,0.8847482,0.4234999,0.1945977,0,0,1
11,0,0.0001538152,-0.2254799,0,0.001748577,-0.001104474,1.408999,0.9746734,0.2232342,-0.01334725,1,0.5,0,0,-0.5000312,0.2255141,0,9.357929E-05,-0.0008425117,1.410121,0.9741007,-0.03875735,0.2227681,1,1,1,0,-0.4998924,-0.2254943,0,0.001440048,-0.000731647,1.362292,0.9991187,-0.03967819,-0.01368975,1,1,0,0,1.412884E-05,0.2254758,0,-0.0003505916,-0.001199991,1.455643,0.9514266,0.2178384,0.2175632,1,0.5,1,0,0.5,-0.225496,0,0,0,1.578496,0.8951908,0.4455144,-0.01226656,0,0,0,0,0.5,0.225496,0,0,0,1.621448,0.8770661,0.4364943,0.2005686,0,0,1
12,0,0.0001119143,-0.2255589,0,-0.0004190086,-0.0007897615,1.354111,0.9731355,0.2298201,-0.01378497,1,0.5,0,0,-0.5000502,0.2254888,0,-0.0001895428,-0.0002525747,1.35527,0.9725275,-0.03991344,0.2293407,1,1,1,0,-0.4999571,-0.2255189,0,-0.0006470084,-0.0002457201,1.305996,0.9990612,-0.04095084,-0.01413008,1,1,0,0,-3.866525E-05,0.225512,0,-0.0005279409,0.0003620982,1.402105,0.9485809,0.223942,0.2237058,1,0.5,1,0,0.5,-0.225496,0,0,0,1.528208,0.8896034,0.4565607,-0.0125707,0,0,0,0,0.5,0.225496,0,0,0,1.572203,0.8707164,0.4468675,0.2053351,0,0,1
13,0,-1.666769E-06,-0.2255542,0,-0.001135811,4.634261E-05,1.255254,0.9699924,0.242699,-0.01455871,1,0.5,0,0,-0.5000157,0.2255258,0,0.0003451109,0.0003693998,1.256513,0.9692969,-0.04213784,0.2422559,1,1,1,0,-0.5000156,-0.2255068,0,-0.0005850196,0.0001204014,1.204382,0.9989445,-0.04342663,-0.01496545,1,1,0,0,8.040854E-05,0.225437,0,0.001190738,-0.0007505715,1.305915,0.9427812,0.235936,0.2355797,1,0.5,1,0,0.5,-0.225496,0,0,0,1.438276,0.8784006,0.4777441,-0.01315395,0,0,0,0,0.5,0.225496,0,0,0,1.484266,0.8580416,0.4666713,0.214435,0,0,1
