frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5,x6,y6,z6,vx6,vy6,vz6,sdf6,nx6,ny6,nz6,md6,u6,v6,x7,y7,z7,vx7,vy7,vz7,sdf7,nx7,ny7,nz7,md7,u7,v7,x8,y8,z8,vx8,vy8,vz8,sdf8,nx8,ny8,nz8,md8,u8,v8,x9,y9,z9,vx9,vy9,vz9,sdf9,nx9,ny9,nz9,md9,u9,v9,x10,y10,z10,vx10,vy10,vz10,sdf10,nx10,ny10,nz10,md10,u10,v10,x11,y11,z11,vx11,vy11,vz11,sdf11,nx11,ny11,nz11,md11,u11,v11,x12,y12,z12,vx12,vy12,vz12,sdf12,nx12,ny12,nz12,md12,u12,v12,x13,y13,z13,vx13,vy13,vz13,sdf13,nx13,ny13,nz13,md13,u13,v13,x14,y14,z14,vx14,vy14,vz14,sdf14,nx14,ny14,nz14,md14,u14,v14,x15,y15,z15,vx15,vy15,vz15,sdf15,nx15,ny15,nz15,md15,u15,v15,x16,y16,z16,vx16,vy16,vz16,sdf16,nx16,ny16,nz16,md16,u16,v16,x17,y17,z17,vx17,vy17,vz17,sdf17,nx17,ny17,nz17,md17,u17,v17,x18,y18,z18,vx18,vy18,vz18,sdf18,nx18,ny18,nz18,md18,u18,v18,x19,y19,z19,vx19,vy19,vz19,sdf19,nx19,ny19,nz19,md19,u19,v19,x20,y20,z20,vx20,vy20,vz20,sdf20,nx20,ny20,nz20,md20,u20,v20,x21,y21,z21,vx21,vy21,vz21,sdf21,nx21,ny21,nz21,md21,u21,v21,x22,y22,z22,vx22,vy22,vz22,sdf22,nx22,ny22,nz22,md22,u22,v22,x23,y23,z23,vx23,vy23,vz23,sdf23,nx23,ny23,nz23,md23,u23,v23,x24,y24,z24,vx24,vy24,vz24,sdf24,nx24,ny24,nz24,md24,u24,v24
0,0,-0.25,0.5,0,0,0,1.803024,0,0,0,1,0,0,0,-0.5,0.25,0,0,0,1.740745,0,0,0,1,0,0,0,-0.5,0.5,0,0,0,1.789072,0,0,0,1,0,0,0,-0.25,0.25,0,0,0,1.755047,0,0,0,1,0,0,0,0,0.5,0,0,0,1.848013,0,0,0,1,0,0,0,-0.5,0,0,0,0,1.724363,0,0,0,1,0,0,0,0,0.25,0,0,0,1.801128,0,0,0,1,0,0,0,0.25,0.5,0,0,0,1.922041,0,0,0,1,0,0,0,-0.25,0,0,0,0,1.738787,0,0,0,1,0,0,0,-0.5,-0.25,0,0,0,1.740745,0,0,0,1,0,0,0,0.25,0.25,0,0,0,1.876848,0,0,0,1,0,0,0,0.5,0.5,0,0,0,2.022176,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.979084,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,1.755047,0,0,0,1,0,0,0,-0.5,-0.5,0,0,0,1.789072,0,0,0,1,0,0,0,-0.25,-0.5,0,0,0,1.803024,0,0,0,1,0,0,0,0,0,0,0,0,1.78525,0,0,0,1,0,0,0,0.25,0,0,0,0,1.861561,0,0,0,1,0,0,0,0.5,0,0,0,0,1.964528,0,0,0,0,0,0,0,0,-0.25,0,0,0,1.801128,0,0,0,1,0,0,0,0,-0.5,0,0,0,1.848013,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,1.876848,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.979084,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,1.922041,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,2.022176,0,0,0,0,0,0
1,0,-0.2499521,0.5000805,0,0.002394618,0.004023315,1.790091,0,0,0,1,0,0,0,-0.4999482,0.2499479,0,0.002591313,-0.002605469,1.727355,0,0,0,1,0,0,0,-0.499978,0.5000113,0,0.001101196,0.0005662444,1.776023,0,0,0,1,0,0,0,-0.2499113,0.25,0,0.004436823,0,1.741774,0,0,0,1,0,0,0,5.425694E-05,0.5000581,0,0.002712848,0.002905728,1.835371,0,0,0,1,0,0,0,-0.4999484,-6.089573E-05,0,0.002582372,-0.003044788,1.710863,0,0,0,1,0,0,0,-3.221794E-06,0.2500468,0,-0.0001610898,0.002342463,1.788161,0,0,0,1,0,0,0,0.2500174,0.5000269,0,0.0008702282,0.001347066,1.909834,0,0,0,1,0,0,0,-0.2499644,2.301254E-05,0,0.001778454,0.001150627,1.725394,0,0,0,1,0,0,0,-0.4999445,-0.2499427,0,0.002774597,0.002862514,1.727354,0,0,0,1,0,0,0,0.2500446,0.2499847,0,0.002229215,-0.00076592,1.864372,0,0,0,1,0,0,0,0.5,0.5,0,0,0,2.010516,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.967191,0,0,0,0,0,0,0,-0.2499893,-0.2500481,0,0.000535697,-0.002403558,1.741771,0,0,0,1,0,0,0,-0.4999957,-0.4999985,0,0.0002130867,7.301572E-05,1.77602,0,0,0,1,0,0,0,-0.2500443,-0.4999909,0,-0.002214313,0.0004544856,1.790057,0,0,0,1,0,0,0,3.94555E-05,2.480529E-05,0,0.001972776,0.001240265,1.772182,0,0,0,1,0,0,0,0.2499838,4.576537E-05,0,-0.0008083883,0.00228827,1.84897,0,0,0,1,0,0,0,0.5,0,0,0,0,1.952553,0,0,0,0,0,0,0,2.022151E-05,-0.2499265,0,0.001011076,0.003673883,1.788151,0,0,0,1,0,0,0,1.133339E-05,-0.5000103,0,0.0005666696,-0.0005126001,1.835349,0,0,0,1,0,0,0,0.2500215,-0.2499874,0,0.001074374,0.0006295743,1.864364,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.967191,0,0,0,0,0,0,0,0.249956,-0.5000267,0,-0.002197922,-0.001335145,1.909812,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,2.010516,0,0,0,0,0,0
2,0,-0.250021,0.499999,0,-0.00344664,-0.004075469,1.776643,0,0,0,1,0,0,0,-0.500037,0.2500499,0,-0.004439058,0.005099924,1.713504,0,0,0,1,0,0,0,-0.4999749,0.500076,0,0.0001519919,0.003233553,1.762524,0,0,0,1,0,0,0,-0.2500885,0.2500557,0,-0.008860979,0.002786518,1.728,0,0,0,1,0,0,0,-6.039121E-06,0.5000117,0,-0.003014804,-0.002318622,1.82223,0,0,0,1,0,0,0,-0.5000539,-9.348375E-06,0,-0.005276503,0.002577369,1.696877,0,0,0,1,0,0,0,-5.942089E-05,0.2499735,0,-0.002809956,-0.003665687,1.774706,0,0,0,1,0,0,0,0.2500195,0.4999917,0,0.0001057983,-0.001759828,1.897183,0,0,0,1,0,0,0,-0.2500748,-2.121477E-06,0,-0.005518647,-0.001256701,1.711501,0,0,0,1,0,0,0,-0.4999796,-0.2499359,0,-0.001756848,0.000344962,1.713489,0,0,0,1,0,0,0,0.2499738,0.2499948,0,-0.003540517,0.0005073847,1.851421,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1.998459,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.954888,0,0,0,0,0,0,0,-0.2499638,-0.2499138,0,0.001274795,0.006715956,1.727997,0,0,0,1,0,0,0,-0.4999866,-0.4999662,0,0.0004559757,0.001618267,1.762495,0,0,0,1,0,0,0,-0.2500039,-0.4999462,0,0.002017618,0.002236665,1.776632,0,0,0,1,0,0,0,-3.028209E-05,-5.446698E-06,0,-0.003486881,-0.0015126,1.758622,0,0,0,1,0,0,0,0.2500268,-4.995359E-05,0,0.002148003,-0.00478595,1.83596,0,0,0,1,0,0,0,0.5,0,0,0,0,1.940165,0,0,0,0,0,0,0,-4.117687E-05,-0.2499948,0,-0.00306992,-0.003413857,1.774713,0,0,0,1,0,0,0,4.31292E-05,-0.4999649,0,0.001589791,0.002266468,1.82223,0,0,0,1,0,0,0,0.2499719,-0.2499671,0,-0.002481044,0.001013279,1.851417,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.954888,0,0,0,0,0,0,0,0.2499577,-0.4999686,0,8.04663E-05,0.002902747,1.897156,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,1.998459,0,0,0,0,0,0
3,0,-0.250086,0.5000119,0,-0.003249945,0.0006482007,1.766139,0,0,0,1,0,0,0,-0.5000674,0.2500492,0,-0.001522899,-3.278257E-05,1.702652,0,0,0,1,0,0,0,-0.5001376,0.5000674,0,-0.008134547,-0.0004321338,1.751946,0,0,0,1,0,0,0,-0.2500994,0.2500647,0,-0.0005468728,0.0004485251,1.71723,0,0,0,1,0,0,0,-6.916578E-05,0.5000366,0,-0.003156334,0.001242757,1.811962,0,0,0,1,0,0,0,-0.5000725,-4.640905E-06,0,-0.000932813,0.0002353736,1.685928,0,0,0,1,0,0,0,4.257881E-05,0.2500282,0,0.005099987,0.002734364,1.764228,0,0,0,1,0,0,0,0.2499842,0.500044,0,-0.001764298,0.002615155,1.887298,0,0,0,1,0,0,0,-0.2499979,6.136164E-06,0,0.003845991,0.0004128822,1.700647,0,0,0,1,0,0,0,-0.5000249,-0.2499047,0,-0.002260507,0.001557172,1.702632,0,0,0,1,0,0,0,0.2500262,0.2499895,0,0.002621115,-0.0002659858,1.841329,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1.989036,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.945271,0,0,0,0,0,0,0,-0.2500529,-0.249962,0,-0.004453959,-0.002410264,1.717223,0,0,0,1,0,0,0,-0.4999905,-0.4999512,0,-0.0001922251,0.0007465485,1.751915,0,0,0,1,0,0,0,-0.2500098,-0.4999304,0,-0.000293553,0.0007882717,1.766128,0,0,0,1,0,0,0,-2.169689E-05,6.359413E-05,0,0.0004292603,0.003452042,1.748026,0,0,0,1,0,0,0,0.2500207,1.715643E-05,0,-0.000306964,0.003355502,1.82577,0,0,0,1,0,0,0,0.5,0,0,0,0,1.930481,0,0,0,0,0,0,0,-6.91508E-05,-0.2499768,0,-0.001398697,0.0008977953,1.764194,0,0,0,1,0,0,0,4.83327E-05,-0.5000045,0,0.0002601753,-0.001977385,1.811983,0,0,0,1,0,0,0,0.2499713,-0.2499312,0,-2.68221E-05,0.001797826,1.841302,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.945271,0,0,0,0,0,0,0,0.249991,-0.4999444,0,0.001665205,0.001212955,1.887276,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,1.989036,0,0,0,0,0,0
4,0,-0.2498854,0.499991,0,0.01003147,-0.001047552,1.756156,0,0,0,1,0,0,0,-0.4999484,0.2500878,0,0.005953016,0.001928211,1.692314,0,0,0,1,0,0,0,-0.4999287,0.5000873,0,0.01044423,0.0009983781,1.741873,0,0,0,1,0,0,0,-0.2498912,0.2500548,0,0.01041145,-0.0004947187,1.706993,0,0,0,1,0,0,0,-2.929529E-05,0.5000668,0,0.001993526,0.001507998,1.802209,0,0,0,1,0,0,0,-0.4999098,0.0001013752,0,0.008136037,0.005300808,1.675491,0,0,0,1,0,0,0,7.017854E-06,0.2500782,0,-0.001778048,0.002500416,1.754213,0,0,0,1,0,0,0,0.2500307,0.5000592,0,0.002321602,0.0007569793,1.877906,0,0,0,1,0,0,0,-0.2499333,3.964902E-05,0,0.003228338,0.001675643,1.690301,0,0,0,1,0,0,0,-0.5000134,-0.2499152,0,0.0005722048,-0.000523776,1.692291,0,0,0,1,0,0,0,0.2500201,0.2499688,0,-0.0003024937,-0.001033396,1.831697,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1.980068,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.936118,0,0,0,0,0,0,0,-0.2500356,-0.2498919,0,0.0008612875,0.003503264,1.706953,0,0,0,1,0,0,0,-0.5000504,-0.4999361,0,-0.002995135,0.0007584694,1.741835,0,0,0,1,0,0,0,-0.24998,-0.499942,0,0.001492352,-0.0005811455,1.756132,0,0,0,1,0,0,0,0.0001007631,7.481382E-05,0,0.006123003,0.0005609849,1.73796,0,0,0,1,0,0,0,0.2499766,-1.792379E-06,0,-0.002203138,-0.0009474409,1.816051,0,0,0,1,0,0,0,0.5,0,0,0,0,1.921263,0,0,0,0,0,0,0,-3.321192E-05,-0.2499823,0,0.001796945,-0.0002726914,1.754191,0,0,0,1,0,0,0,3.041546E-05,-0.4999225,0,-0.0008958624,0.004099311,1.802187,0,0,0,1,0,0,0,0.2500259,-0.2499331,0,0.002729894,-9.387735E-05,1.831695,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.936118,0,0,0,0,0,0,0,0.2499493,-0.4999811,0,-0.002082438,-0.001835824,1.877858,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,1.980068,0,0,0,0,0,0
5,0,-0.2501002,0.5000793,0,-0.01073778,0.004418196,1.748255,0,0,0,1,0,0,0,-0.5000021,0.2500646,0,-0.002689661,-0.001159311,1.684142,0,0,0,1,0,0,0,-0.5000468,0.5000433,0,-0.005902352,-0.002199412,1.733906,0,0,0,1,0,0,0,-0.2499496,0.2500296,0,-0.002918394,-0.001262129,1.698877,0,0,0,1,0,0,0,3.08776E-05,0.5000874,0,0.003008645,0.001034141,1.794517,0,0,0,1,0,0,0,-0.5000047,7.809359E-05,0,-0.004744532,-0.001164082,1.667248,0,0,0,1,0,0,0,3.540669E-05,0.2500294,0,0.001419443,-0.002442301,1.746309,0,0,0,1,0,0,0,0.2500852,0.4999633,0,0.002725424,-0.004796686,1.870475,0,0,0,1,0,0,0,-0.2500193,8.028028E-05,0,-0.004296752,0.002031564,1.682113,0,0,0,1,0,0,0,-0.5000117,-0.2499171,0,8.642677E-05,-9.685758E-05,1.684123,0,0,0,1,0,0,0,0.2500246,0.2500162,0,0.0002235175,0.00236705,1.824105,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1.972994,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.928896,0,0,0,0,0,0,0,-0.2499657,-0.2499098,0,0.003495069,-0.000893325,1.698859,0,0,0,1,0,0,0,-0.50004,-0.4999771,0,0.0005185606,-0.00204891,1.733889,0,0,0,1,0,0,0,-0.2500283,-0.4999684,0,-0.002414734,-0.001318753,1.748235,0,0,0,1,0,0,0,1.582534E-05,8.180265E-05,0,-0.004246891,0.0003494418,1.729965,0,0,0,1,0,0,0,0.2500504,-2.843269E-05,0,0.003688784,-0.001332016,1.808419,0,0,0,1,0,0,0,0.5,0,0,0,0,1.91399,0,0,0,0,0,0,0,-5.327821E-05,-0.2499414,0,-0.001003315,0.00204444,1.746275,0,0,0,1,0,0,0,-4.201611E-05,-0.499927,0,-0.00362158,-0.0002264977,1.794458,0,0,0,1,0,0,0,0.2500031,-0.2499186,0,-0.001139939,0.0007227066,1.824085,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.928896,0,0,0,0,0,0,0,0.2500233,-0.4999637,0,0.00369847,0.000868738,1.870452,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,1.972994,0,0,0,0,0,0
6,0,-0.2498531,0.5000363,0,0.01235158,-0.002151729,1.740243,0,0,0,1,0,0,0,-0.499893,0.2500591,0,0.005455317,-0.0002771617,1.675831,0,0,0,1,0,0,0,-0.4998879,0.5000321,0,0.007946792,-0.0005602839,1.72581,0,0,0,1,0,0,0,-0.2499506,0.250023,0,-4.991891E-05,-0.0003263355,1.690632,0,0,0,1,0,0,0,8.320514E-05,0.4999593,0,0.002616378,-0.006408992,1.786655,0,0,0,1,0,0,0,-0.5000267,7.365344E-05,0,-0.001099706,-0.0002220074,1.658862,0,0,0,1,0,0,0,1.475892E-05,0.2499961,0,-0.001032389,-0.001665951,1.738259,0,0,0,1,0,0,0,0.250089,0.4999821,0,0.0001907349,0.0009432439,1.862931,0,0,0,1,0,0,0,-0.249976,-3.264893E-06,0,0.00216365,-0.004177261,1.6738,0,0,0,1,0,0,0,-0.5000405,-0.2499926,0,-0.001442433,-0.00377223,1.675823,0,0,0,1,0,0,0,0.2500722,0.2500126,0,0.002379716,-0.000178814,1.816397,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1.965806,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.921556,0,0,0,0,0,0,0,-0.2500203,-0.2499153,0,-0.002727659,-0.0002749265,1.690609,0,0,0,1,0,0,0,-0.5000299,-0.4999932,0,0.0005036594,-0.0008076432,1.725801,0,0,0,1,0,0,0,-0.2500218,-0.4999654,0,0.0003203751,0.0001490117,1.740203,0,0,0,1,0,0,0,-2.565686E-05,8.074573E-05,0,-0.002074111,-5.284603E-05,1.721846,0,0,0,1,0,0,0,0.2499976,-3.291597E-05,0,-0.002639742,-0.0002241645,1.800613,0,0,0,1,0,0,0,0.5,0,0,0,0,1.906598,0,0,0,0,0,0,0,9.369513E-06,-0.2499775,0,0.003132388,-0.001803041,1.738256,0,0,0,1,0,0,0,2.561173E-05,-0.499952,0,0.003381393,-0.001251698,1.786639,0,0,0,1,0,0,0,0.2500195,-0.2499893,0,0.0008180741,-0.003533812,1.816375,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.921556,0,0,0,0,0,0,0,0.2500274,-0.4999706,0,0.0002071262,-0.0003457071,1.862906,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,1.965806,0,0,0,0,0,0
7,0,-0.2500343,0.5000466,0,-0.00905991,0.0005155804,1.728413,0,0,0,1,0,0,0,-0.5000032,0.2500157,0,-0.005508962,-0.00216663,1.663602,0,0,0,1,0,0,0,-0.5000324,0.4999941,0,-0.007228556,-0.001899899,1.713901,0,0,0,1,0,0,0,-0.2499751,0.2499926,0,-0.001224876,-0.001522899,1.678499,0,0,0,1,0,0,0,1.681794E-05,0.5000019,0,-0.003319361,0.002132357,1.77512,0,0,0,1,0,0,0,-0.5000024,6.168555E-05,0,0.001212955,-0.000598395,1.646524,0,0,0,1,0,0,0,4.137272E-05,0.2499971,0,0.00133069,5.215409E-05,1.726444,0,0,0,1,0,0,0,0.2500713,0.4999919,0,-0.0008851293,0.0004872682,1.851832,0,0,0,1,0,0,0,-0.2500114,-6.04399E-06,0,-0.001770259,-0.0001389549,1.661558,0,0,0,1,0,0,0,-0.500061,-0.2500148,0,-0.00102222,-0.001112372,1.663603,0,0,0,1,0,0,0,0.2500174,0.2499886,0,-0.002740325,-0.001200289,1.805018,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1.955247,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.910773,0,0,0,0,0,0,0,-0.2500051,-0.2499855,0,0.0007584694,-0.00351295,1.678494,0,0,0,1,0,0,0,-0.4999701,-0.5000557,0,0.002992154,-0.003126265,1.713916,0,0,0,1,0,0,0,-0.2500179,-0.499987,0,0.0001966954,-0.001080335,1.728399,0,0,0,1,0,0,0,3.894496E-05,2.891955E-05,0,0.003230092,-0.00259131,1.709937,0,0,0,1,0,0,0,0.2499867,-4.524544E-05,0,-0.0005438926,-0.0006164736,1.789162,0,0,0,1,0,0,0,0.5,0,0,0,0,1.895737,0,0,0,0,0,0,0,-9.65907E-06,-0.2499936,0,-0.0009514295,-0.000804663,1.726431,0,0,0,1,0,0,0,4.020801E-05,-0.4999793,0,0.0007298141,-0.001364947,1.77512,0,0,0,1,0,0,0,0.2500402,-0.2500148,0,0.001034141,-0.001277775,1.80503,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.910773,0,0,0,0,0,0,0,0.2499912,-0.500029,0,-0.001812727,-0.002916158,1.851812,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,1.955247,0,0,0,0,0,0
8,0,-0.2499888,0.4999326,0,0.002276153,-0.005698206,1.724637,0,0,0,1,0,0,0,-0.5000693,0.2499868,0,-0.003302099,-0.001445413,1.659715,0,0,0,1,0,0,0,-0.5000269,0.4999638,0,0.0002741815,-0.001518429,1.710112,0,0,0,1,0,0,0,-0.2500334,0.2499461,0,-0.002919139,-0.002325327,1.674633,0,0,0,1,0,0,0,7.809067E-06,0.4999873,0,-0.0004504441,-0.0007316473,1.771453,0,0,0,1,0,0,0,-0.4999914,-2.61807E-05,0,0.0005498531,-0.004393314,1.642604,0,0,0,1,0,0,0,-1.740354E-06,0.249936,0,-0.002155654,-0.003057719,1.72267,0,0,0,1,0,0,0,0.2499555,0.4999882,0,-0.005786868,-0.0001832844,1.848266,0,0,0,1,0,0,0,-0.2500394,-3.17893E-05,0,-0.00139922,-0.001287266,1.657666,0,0,0,1,0,0,0,-0.5000731,-0.2499461,0,-0.0006049874,0.003433974,1.65971,0,0,0,1,0,0,0,0.24994,0.2500052,0,-0.003869088,0.0008307401,1.801385,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1.951895,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.907351,0,0,0,0,0,0,0,-0.2500547,-0.2500059,0,-0.002476574,-0.00101775,1.674638,0,0,0,1,0,0,0,-0.5001584,-0.5000045,0,-0.009414557,0.002563001,1.710124,0,0,0,1,0,0,0,-0.2500603,-0.5000247,0,-0.002121926,-0.001882017,1.724653,0,0,0,1,0,0,0,9.102972E-06,2.043766E-05,0,-0.0014921,-0.0004240947,1.706141,0,0,0,1,0,0,0,0.2499542,-4.735184E-05,0,-0.001624972,-0.0001053203,1.785514,0,0,0,1,0,0,0,0.5,0,0,0,0,1.892289,0,0,0,0,0,0,0,1.869413E-05,-0.2499867,0,0.001417661,0.000344962,1.722682,0,0,0,1,0,0,0,-5.421637E-05,-0.5000606,0,-0.004721221,-0.004063548,1.771456,0,0,0,1,0,0,0,0.2499623,-0.2499898,0,-0.00389293,0.001250208,1.801392,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.907351,0,0,0,0,0,0,0,0.2499506,-0.5000023,0,-0.002030284,0.001335145,1.848268,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,1.951895,0,0,0,0,0,0
9,0,-0.2499731,0.5000827,0,0.0007875267,0.007501247,1.708216,0,0,0,1,0,0,0,-0.4999143,0.2499382,0,0.007750097,-0.002431125,1.642657,0,0,0,1,0,0,0,-0.5000295,0.500007,0,-0.00012815,0.00216365,1.693533,0,0,0,1,0,0,0,-0.249892,0.2500559,0,0.007072094,0.005490335,1.657754,0,0,0,1,0,0,0,-1.18741E-05,0.5000333,0,-0.0009841586,0.00230223,1.755396,0,0,0,1,0,0,0,-0.5000226,-7.190077E-06,0,-0.001557172,0.0009495314,1.625391,0,0,0,1,0,0,0,-5.532105E-05,0.2500043,0,-0.002679036,0.003416838,1.706185,0,0,0,1,0,0,0,0.2499885,0.4999436,0,0.001646579,-0.002232195,1.832819,0,0,0,1,0,0,0,-0.2500252,1.077853E-05,0,0.0007078054,0.002128392,1.640598,0,0,0,1,0,0,0,-0.4999766,-0.2500546,0,0.004824998,-0.00542328,1.642673,0,0,0,1,0,0,0,0.2499725,0.249966,0,0.001624972,-0.001960994,1.785574,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1.937205,0,0,0,0,0,0,0,0.5,0.25,0,0,0,1.892344,0,0,0,0,0,0,0,-0.2499714,-0.2500681,0,0.004163386,-0.003109874,1.657745,0,0,0,1,0,0,0,-0.4999061,-0.5000655,0,0.01261533,-0.003051759,1.693548,0,0,0,1,0,0,0,-0.2500096,-0.5000566,0,0.002539159,-0.001597405,1.708205,0,0,0,1,0,0,0,-8.156378E-05,-3.627874E-06,0,-0.00453334,-0.001203277,1.689492,0,0,0,1,0,0,0,0.250025,-1.02711E-06,0,0.003542007,0.002316238,1.769594,0,0,0,1,0,0,0,0.5,0,0,0,0,1.877172,0,0,0,0,0,0,0,-2.361716E-05,-0.2499794,0,-0.002115566,0.0003620984,1.70619,0,0,0,1,0,0,0,4.171869E-05,-0.499971,0,0.004796755,0.004479291,1.755394,0,0,0,1,0,0,0,0.2499663,-0.2500084,0,0.0001974405,-0.0009268526,1.785577,0,0,0,1,0,0,0,0.5,-0.25,0,0,0,1.892344,0,0,0,0,0,0,0,0.2500338,-0.4999479,0,0.004160406,0.002716483,1.832836,0,0,0,1,0,0,0,0.5,-0.5,0,0,0,1.937205,0,0,0,0,0,0
