frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,-0.06203143,1.586937,-0.3000686,3.101573,-79.35066,0.3440978,0.147145,-0.4852277,0.8606064,-0.1546309,1,0.5,0,-0.06203143,0.7420106,0.4621912,3.101573,-69.60019,-8.446301,0.2874256,-0.398784,-0.3657354,0.8409572,1,1,1,-0.06203143,0.7420393,-0.2999396,3.101573,-69.59698,0.3512727,-0.06237772,-0.7175427,-0.658012,-0.2283696,1,1,0,-0.06203143,1.587035,0.462147,3.101573,-79.34892,-8.444986,0.4205054,-0.3411307,0.60514,0.7193299,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,0.9402171,-0.2180315,0.9734643,-0.06949523,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.081951,-0.1984971,0.8862475,0.4185264,0,0,1
1,-0.1281766,1.588891,-0.2966303,3.329991,-79.3287,0.354238,0.07971001,-0.2067653,0.9640869,-0.1666873,1,0.5,0,-0.1185721,0.7467459,0.4658564,3.102432,-69.58144,-8.401174,0.2319527,-0.1506374,-0.3869841,0.9096987,1,1,1,-0.3071368,0.7631865,-0.2725472,4.714929,-69.66112,0.2501504,-0.09287792,-0.7339914,-0.6553648,-0.1781952,1,1,0,-0.02882745,1.587092,0.459133,2.820859,-79.35129,-8.446881,0.3632662,-0.02376415,0.6453303,0.7635339,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,0.9065942,-0.03819066,0.9967338,-0.07115643,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.051403,-0.03462593,0.9036983,0.4267675,0,0,1
2,-0.2756536,1.613965,-0.3000245,4.895734,-79.48515,0.3228889,0.09268111,-0.02675008,0.9852931,-0.1687661,1,0.5,0,-0.5633603,0.823248,0.4635241,7.482779,-70.15817,-8.560586,0.2583929,-0.4002686,-0.2726186,0.8749081,1,1,1,-0.6666549,0.864999,-0.290504,9.00335,-70.62762,0.09869341,-0.0517281,-0.9076088,-0.3680823,-0.2018953,1,1,0,-0.2476121,1.60717,0.4616842,4.335105,-79.38775,-8.458158,0.3781226,0.01387871,0.657277,0.7535214,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,0.9194131,0.1393308,0.9877322,-0.07051381,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.063035,0.1265282,0.8969731,0.4235916,0,0,1
3,-0.4453463,1.678142,-0.2987075,7.311562,-80.29195,0.3466205,0.1599258,0.1141083,0.9821441,-0.1495736,1,0.5,0,-0.7954707,0.9113802,0.4616431,11.37489,-71.44963,-8.463702,0.2262018,-0.3784368,-0.1633427,0.9111009,1,1,1,-0.9476213,0.9986066,-0.2802067,12.42655,-71.93971,0.298153,-0.06442702,-0.9802539,-0.07207382,-0.1841406,1,1,0,-0.3863519,1.650893,0.4608434,6.892138,-80.11389,-8.436816,0.4166558,0.1465079,0.6773458,0.7209286,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,0.9784964,0.310192,0.9482606,-0.06769595,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.116878,0.283644,0.867103,0.4094855,0,0,1
4,-0.3981093,1.65632,-0.2986323,7.330228,-80.29503,0.3257037,0.2386317,0.5129871,0.8479462,-0.1335338,1,0.5,0,-0.9835591,1.089952,0.4945377,13.25962,-72.97877,-8.844277,0.2270737,-0.2840719,0.08245626,0.9552508,1,1,1,-1.087355,1.169202,-0.2562652,14.88034,-74.1274,-0.2645807,-0.1552511,-0.9001816,0.4037782,-0.1632062,1,1,0,-0.336665,1.632572,0.4607983,6.369957,-79.90672,-8.409078,0.4968238,0.441756,0.6044917,0.6629038,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,1.076968,0.4533932,0.889048,-0.06346878,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.207387,0.4187606,0.8211378,0.3877786,0,0,1
5,-0.2848032,1.616718,-0.3000282,5.854323,-79.74909,0.3490435,0.4574345,0.7833,0.6128018,-0.1044752,1,0.5,0,-0.8406084,0.9720655,0.4552719,13.45095,-73.45174,-8.431013,0.1858813,0.283071,-0.08446718,0.9553722,1,1,1,-0.839794,0.9795767,-0.3068261,13.94557,-73.93961,0.3550829,-0.272038,0.8552635,-0.2211916,-0.4686135,1,1,0,-0.298813,1.620603,0.462089,5.841782,-79.74071,-8.439468,0.6527336,0.6384377,0.5123504,0.5743644,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,1.209335,0.5690694,0.8202021,-0.0585539,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.330347,0.5314459,0.7659751,0.3617283,0,0,1
6,-0.1432545,1.590679,-0.2988838,5.363454,-79.53522,0.3350453,0.7790388,0.8954685,0.4383597,-0.07731105,1,0.5,0,-0.02425614,0.7735009,0.4830154,5.70593,-69.8381,-8.602108,0.9597434,0.8661367,-0.1757152,0.4679011,1,1,1,0.09926967,0.7817061,-0.2691548,4.049119,-69.78274,0.02647192,0.9115934,0.9831889,-0.1758962,-0.04899063,1,1,0,-0.2046794,1.598729,0.460846,5.983193,-79.71741,-8.441308,0.8910573,0.7792016,0.4088469,0.4750675,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,1.365496,0.6574991,0.7515427,-0.05365233,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.476972,0.6204245,0.7091652,0.3349001,0,0,1
7,0.3529047,1.69575,-0.2992003,-0.6286266,-80.0249,0.352356,1.515383,0.9425796,0.3303345,-0.04922156,1,0.5,0,0.6963553,0.9309509,0.4701587,-4.24007,-70.94295,-8.415349,1.843174,0.9572954,-0.04227132,0.2860047,1,1,1,0.6842021,0.9182833,-0.2918232,-4.576628,-71.10732,0.384912,1.735638,0.9979059,-0.04997083,-0.0410725,1,1,0,0.3922321,1.719381,0.4615113,-0.8688856,-80.08942,-8.451896,1.661599,0.8970146,0.3189218,0.3060287,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,1.54451,0.7261996,0.6857387,-0.04895462,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.64671,0.6916269,0.6530923,0.3084199,0,0,1
8,0.2990533,1.667822,-0.2988777,-2.317012,-80.89314,0.3473566,1.695412,0.9558068,0.2905252,-0.04503832,1,0.5,0,0.849158,1.012373,0.4510806,-8.072519,-73.04296,-8.476029,2.227405,0.9710674,-0.006462745,0.238718,1,1,1,0.7735489,0.9687243,-0.306161,-6.88644,-72.22941,0.2059177,2.075804,0.998867,-0.02378895,-0.04121472,1,1,0,0.3491449,1.693667,0.4611622,-2.739738,-81.21133,-8.440841,1.843835,0.9166522,0.2831544,0.2820857,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,1.734692,0.7774246,0.6273794,-0.04478837,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.82856,0.7460854,0.6020887,0.2843337,0,0,1
9,-0.06695841,1.586704,-0.2998908,2.558486,-79.3524,0.3560664,1.483757,0.9584939,0.2806312,-0.05035434,1,0.5,0,0.2153043,0.7931454,0.4644081,-3.127192,-71.06409,-8.396315,1.794778,0.9515875,-0.1032146,0.2895304,1,1,1,0.2687454,0.8111829,-0.295623,-3.271417,-71.30671,0.4080118,1.749832,0.9943511,-0.09725931,-0.04250228,1,1,0,-0.07458581,1.587017,0.4622146,2.42322,-79.34039,-8.442112,1.582125,0.9095477,0.2675233,0.3180475,1,0.5,1,-0.06203143,2.432,-0.3000882,3.101573,-89.10003,0.3471719,1.868497,0.804876,0.5919365,-0.04225811,0,0,0,-0.06203143,2.432,0.4620882,3.101573,-89.10003,-8.447175,1.957259,0.775802,0.5705544,0.2694418,0,0,1
