frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,x6,y6,z6,vx6,vy6,vz6,sdf6,nx6,ny6,nz6,x7,y7,z7,vx7,vy7,vz7,sdf7,nx7,ny7,nz7,x8,y8,z8,vx8,vy8,vz8,sdf8,nx8,ny8,nz8,x9,y9,z9,vx9,vy9,vz9,sdf9,nx9,ny9,nz9
0,0.1400038,-48.6701,24.8576,-19.49826,2408.72,-1243.092,55.1226,-0.04357169,-0.8935234,0.4468975,0.1400076,-23.67126,49.86595,-32.00262,1171.113,-2493.466,55.20134,-0.04351003,-0.4434591,0.8952379,0.1400076,-48.67411,49.858,-31.99865,2408.424,-2493.328,69.94283,-0.03440474,-0.705595,0.7077796,0.1400038,-23.67146,24.8609,-19.4999,1171.07,-1243.191,34.62976,-0.06898911,-0.7031491,0.7076876,0.14,-48.66883,-0.1350574,-7.001732,2408.44,6.898403,49.25807,-0.04870717,-0.9988094,-0.002714281,0.1400076,1.327389,49.85777,-31.99853,-66.67292,-2493.193,49.41753,-0.04855143,0.005957617,0.9988029,0.14,-23.67271,-0.1358415,-7.00134,1170.862,6.996361,24.32168,-0.09763941,-0.9952068,-0.005472695,0.1399962,-48.66799,-25.13916,5.500515,2408.088,1256.95,55.24712,-0.04347451,-0.8914897,-0.45095,0.1400038,1.330183,24.85793,-19.49842,-66.56017,-1243.101,24.4776,-0.09702978,0.01201807,0.9952089,0.1400076,26.32567,49.86367,-32.00148,-1303.96,-2492.99,55.46544,-0.04330471,0.4519874,0.8909726
1,0.1400038,-48.66019,24.86499,-19.50195,2408.199,-1243.025,55.10408,-0.03785608,-0.8936429,0.4471792,0.1400076,-23.66108,49.86142,-32.00036,1170.521,-2492.975,55.17981,-0.03780453,-0.4434476,0.8955026,0.1400076,-48.65419,49.86395,-32.00162,2407.934,-2493.185,69.92274,-0.02989018,-0.7055134,0.708066,0.1400038,-23.66576,24.86008,-19.49949,1170.74,-1242.813,34.60463,-0.05996226,-0.7034901,0.708171,0.14,-48.6599,-0.1351855,-7.001668,2408.159,6.853763,49.23465,-0.04232374,-0.9991002,-0.002718135,0.1400076,1.339236,49.86059,-31.99994,-67.0094,-2492.822,49.40596,-0.0421783,0.00619638,0.9990909,0.14,-23.65953,-0.1399917,-6.999265,1170.493,6.760251,24.2795,-0.0849475,-0.9963694,-0.005649499,0.1399962,-48.65564,-25.13183,5.49685,2408.287,1256.875,55.21986,-0.03777756,-0.8917043,-0.4510391,0.1400038,1.335528,24.86448,-19.50169,-67.02864,-1243.084,24.45529,-0.08434895,0.012243,0.9963611,0.1400076,26.32883,49.85464,-31.99697,-1303.74,-2493.098,55.44593,-0.0376247,0.4522015,0.8911219
2,0.1400038,-48.66232,24.86232,-19.50061,2408.145,-1243.191,55.09347,-0.03204245,-0.8938516,0.4472165,0.1400076,-23.66742,49.86077,-32.00003,1170.552,-2492.863,55.17075,-0.0319979,-0.4436337,0.8956368,0.1400076,-48.6667,49.8638,-32.00154,2408.416,-2493.257,69.92254,-0.02529513,-0.7056931,0.7080659,0.1400038,-23.66878,24.86177,-19.50034,1170.962,-1242.636,34.59004,-0.05076516,-0.7038688,0.7085136,0.14,-48.66609,-0.1363666,-7.001078,2408.041,6.507139,49.22819,-0.03582184,-0.9993544,-0.00274224,0.1400076,1.337119,49.86085,-32.00008,-66.68518,-2493.338,49.39361,-0.03570292,0.006155478,0.9993435,0.14,-23.66593,-0.1396087,-6.999457,1170.754,6.724399,24.26049,-0.07194346,-0.9973928,-0.005638365,0.1399962,-48.67545,-25.13886,5.500361,2408.403,1256.614,55.2294,-0.03196444,-0.891907,-0.4510878,0.1400038,1.335107,24.86015,-19.49953,-66.8304,-1243.349,24.42576,-0.07146629,0.01224065,0.9973679,0.1400076,26.32625,49.86546,-32.00238,-1303.788,-2492.869,55.44316,-0.03184209,0.4521776,0.8913593
3,0.1400038,-48.67044,24.86527,-19.50209,2408.76,-1243.246,55.09272,-0.02628858,-0.8940098,0.4472755,0.1400076,-23.66622,49.86473,-32.00201,1171.012,-2493.325,55.16444,-0.02625464,-0.4436624,0.8958093,0.1400076,-48.66339,49.86531,-32.0023,2408.37,-2493.05,69.9139,-0.02075513,-0.7057327,0.7081742,0.1400038,-23.66474,24.86243,-19.50067,1170.988,-1243.462,34.57288,-0.04166905,-0.704098,0.7088791,0.14,-48.66847,-0.1369073,-7.000807,2408.467,6.851473,49.22014,-0.02939367,-0.9995641,-0.002753559,0.1400076,1.335885,49.8586,-31.99895,-66.76923,-2492.695,49.38095,-0.02929875,0.006132293,0.9995518,0.14,-23.66908,-0.1362299,-7.001146,1171.007,7.039676,24.24265,-0.05906631,-0.9982389,-0.005505871,0.1399962,-48.66078,-25.1389,5.500385,2408.051,1257.065,55.20704,-0.02623477,-0.8920018,-0.4512698,0.1400038,1.333103,24.86586,-19.50239,-66.40845,-1242.92,24.41061,-0.05866791,0.01216762,0.9982034,0.1400076,26.32917,49.86353,-32.00141,-1303.745,-2493.303,55.43349,-0.02612835,0.4523081,0.891479
