frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0,0,-0.225496,0,0,0,0.54967,-0.9136205,0.4058419,-0.02428953,1,0.5,0,0,-0.5,0.225496,0,0,0,0.5517622,-0.9118031,-0.07035811,0.4045553,1,1,1,0,-0.5,-0.225496,0,0,0,0.4621887,-0.996686,-0.07690799,-0.02649791,1,1,0,0,0,0.225496,0,0,0,0.6323444,-0.8469155,0.3762106,0.3757655,1,0.5,1,0,0.5,-0.225496,0,0,0,0.8333443,-0.7192441,0.6944942,-0.01912184,0,0,0,0,0.5,0.225496,0,0,0,0.8993584,-0.6853141,0.6617318,0.304065,0,0,1
1,0,0,-0.225496,0,0,0,0.5205171,-0.908363,0.4174354,-0.0249834,1,0.5,0,0,-0.5,0.225496,0,0,0,0.522669,-0.9064517,-0.07235968,0.4160642,1,1,1,0,-0.5,-0.225496,0,0,0,0.4302984,-0.9964545,-0.07954437,-0.02740625,1,1,0,0,0,0.225496,0,0,0,0.6053741,-0.8386301,0.3853899,0.3849339,1,0.5,1,0,0.5,-0.225496,0,0,0,0.8105171,-0.7073544,0.7065913,-0.01945491,0,0,0,0,0.5,0.225496,0,0,0,0.8776255,-0.672897,0.6721711,0.3088619,0,0,1
2,0,0.0001291806,-0.2254619,0,0.001291806,0.0003412366,0.4274321,-0.8877678,0.4594721,-0.02745416,1,0.5,0,0,-0.5000197,0.2255708,0,-0.0001966953,0.0007480383,0.429777,-0.8855288,-0.07961014,0.4577128,1,1,1,0,-0.499965,-0.2254625,0,0.0003501773,0.0003354251,0.327052,-0.995517,-0.08943208,-0.030787,1,1,0,0,6.125728E-05,0.2255638,0,0.0006125728,0.0006777048,0.520063,-0.8071504,0.4176813,0.4171936,1,0.5,1,0,0.5,-0.225496,0,0,0,0.7393634,-0.6643284,0.7471578,-0.02057184,0,0,0,0,0.5,0.225496,0,0,0,0.8101217,-0.6284487,0.7068046,0.3247759,0,0,1
3,0,3.87327E-05,-0.2255027,0,-0.0009044785,-0.0004081428,0.3506378,-0.8650169,0.5008463,-0.02998066,1,0.5,0,0,-0.5000437,0.2254063,0,-0.0002408028,-0.001645237,0.3531578,-0.8624619,-0.08678787,0.4986255,1,1,1,0,-0.5000003,-0.2256047,0,-0.0003531575,-0.001422316,0.2399709,-0.9943852,-0.1000043,-0.03460228,1,1,0,0,4.284691E-05,0.2254167,0,-0.0001841036,-0.001470894,0.4507456,-0.7739358,0.4481145,0.4474559,1,0.5,1,0,0.5,-0.225496,0,0,0,0.6830263,-0.6219777,0.7827383,-0.0215515,0,0,0,0,0.5,0.225496,0,0,0,0.7569599,-0.5853934,0.7366981,0.338512,0,0,1
4,0,1.678952E-05,-0.2255101,0,-0.0002194318,-7.376075E-05,0.2564009,-0.8256215,0.5632156,-0.03372557,1,0.5,0,0,-0.4999333,0.2255587,0,0.001104176,0.001523793,0.2593205,-0.822447,-0.09736776,0.5604467,1,1,1,0,-0.4999763,-0.2253493,0,0.0002396107,0.002553612,0.1293778,-0.9922512,-0.1175388,-0.04027679,1,1,0,0,8.775193E-05,0.2254471,0,0.0004490502,0.0003038347,0.3675006,-0.7198852,0.4911671,0.4904285,1,0.5,1,0,0.5,-0.225496,0,0,0,0.6171962,-0.5589894,0.8288607,-0.02282141,0,0,0,0,0.5,0.225496,0,0,0,0.6952088,-0.5225036,0.77476,0.3560014,0,0,1
5,0,3.507205E-05,-0.2254521,0,0.0001828253,0.0005801022,0.2112013,-0.799922,0.5990359,-0.03578741,1,0.5,0,0,-0.5000311,0.2256761,0,-0.0009772182,0.001174808,0.2143769,-0.7963661,-0.1036303,0.5958706,1,1,1,0,-0.5000264,-0.2252982,0,-0.000500679,0.0005117059,0.07425898,-0.9906777,-0.1289077,-0.04405355,1,1,0,0,7.224153E-05,0.2255121,0,-0.0001551041,0.0006508827,0.3284031,-0.6867497,0.5143296,0.5136535,1,0.5,1,0,0.5,-0.225496,0,0,0,0.5870968,-0.5233256,0.85181,-0.02345328,0,0,0,0,0.5,0.225496,0,0,0,0.6671231,-0.4874426,0.7934039,0.3645682,0,0,1
6,0,6.516797E-05,-0.2254888,0,0.0003009592,-0.0003677607,0.1307785,-0.7362893,0.6754593,-0.04040852,1,0.5,0,0,-0.4998966,0.2254091,0,0.001344681,-0.002670437,0.1341403,-0.7323861,-0.1165304,0.6708438,1,1,1,0,-0.4999777,-0.2256088,0,0.0004866719,-0.003106743,-0.02901295,-0.9860896,-0.1570696,-0.05437267,1,1,0,0,2.652725E-05,0.2254957,0,-0.0004571428,-0.0001645088,0.2604246,-0.6107581,0.5602483,0.5595502,1,0.5,1,0,0.5,-0.225496,0,0,0,0.536256,-0.448186,0.8936016,-0.02460395,0,0,0,0,0.5,0.225496,0,0,0,0.6199211,-0.4147037,0.826844,0.3799339,0,0,1
7,0,4.622321E-05,-0.2255093,0,-0.0001894477,-0.000204742,0.07776225,-0.6740035,0.7374075,-0.04415189,1,0.5,0,0,-0.4999652,0.2256351,0,-0.0006863475,0.002260059,0.08161777,-0.6695356,-0.1271715,0.7318124,1,1,1,0,-0.5000138,-0.2253632,0,-0.0003609061,0.002456456,-0.1028043,-0.9804078,-0.186341,-0.06385561,1,1,0,0,7.997047E-05,0.2255312,0,0.0005344322,0.0003552437,0.2171221,-0.543023,0.5941526,0.5933874,1,0.5,1,0,0.5,-0.225496,0,0,0,0.5048727,-0.3875255,0.9215098,-0.02537236,0,0,0,0,0.5,0.225496,0,0,0,0.5909473,-0.3569502,0.8488036,0.3900243,0,0,1
8,0,4.696816E-05,-0.2254469,0,7.449562E-06,0.0006245077,0.02999729,-0.5928691,0.8038663,-0.04801317,1,0.5,0,0,-0.5000024,0.2256243,0,-0.000372231,-0.0001078844,0.03419662,-0.5882086,-0.1385304,0.7967559,1,1,1,0,-0.500048,-0.2253507,0,-0.0003415346,0.0001250207,-0.1761801,-0.9703511,-0.2286702,-0.07828633,1,1,0,0,1.81159E-05,0.2255927,0,-0.0006185457,0.0006143749,0.1792306,-0.4626102,0.6272069,0.6265805,1,0.5,1,0,0.5,-0.225496,0,0,0,0.478192,-0.3212243,0.9466444,-0.0260644,0,0,0,0,0.5,0.225496,0,0,0,0.5664222,-0.2946479,0.868324,0.3989939,0,0,1
9,0,4.427188E-05,-0.2255416,0,-2.696281E-05,-0.0009475648,-0.01811522,-0.4642428,0.8841206,-0.05300355,1,0.5,0,0,-0.4999169,0.2254498,0,0.0008556247,-0.001744777,-0.01366872,-0.4599982,-0.1519887,0.8748149,1,1,1,0,-0.5000144,-0.2254994,0,0.0003355742,-0.001487285,-0.2629869,-0.9438784,-0.3122799,-0.1075865,1,1,0,0,4.043485E-05,0.2254938,0,0.0002231895,-0.000988394,0.1423413,-0.3482752,0.6632618,0.6624109,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4529811,-0.2347492,0.9716877,-0.02675393,0,0,0,0,0.5,0.225496,0,0,0,0.5433455,-0.2144175,0.8875296,0.4078189,0,0,1
