frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0,2.594733E-05,-0.22544,0,0,0,0.5014896,-0.9046525,0.4253923,-0.02540211,1,0.5,0,0,-0.4999241,0.2255979,0,0,0,0.5037104,-0.9026509,-0.07365079,0.4240246,1,1,1,0,-0.5000573,-0.2254574,0,0,0,0.4093782,-0.9962853,-0.08143734,-0.02799424,1,1,0,0,7.997928E-05,0.2255804,0,0,0,0.5878874,-0.8328068,0.3916582,0.391199,1,0.5,1,0,0.5,-0.225496,0,0,0,0.7957478,-0.6992102,0.7146453,-0.01967666,0,0,0,0,0.5,0.225496,0,0,0,0.8635831,-0.664426,0.6790932,0.3120426,0,0,1
1,0,0.0001664442,-0.2255692,0,0,0,0.4288708,-0.8881128,0.4588006,-0.02752714,1,0.5,0,0,-0.4999444,0.225389,0,0,0,0.4311031,-0.8859836,-0.07941596,0.4568656,1,1,1,0,-0.4999138,-0.2255608,0,0,0,0.3286411,-0.9955361,-0.08919883,-0.03084666,1,1,0,0,4.745938E-05,0.225388,0,0,0,0.5212741,-0.8077577,0.4171725,0.4165268,1,0.5,1,0,0.5,-0.225496,0,0,0,0.7404255,-0.6650476,0.7465181,-0.02055423,0,0,0,0,0.5,0.225496,0,0,0,0.8111264,-0.6291858,0.706263,0.3245271,0,0,1
2,0,-3.37923E-05,-0.2256075,0,-0.002554353,-0.004871191,0.2813212,-0.8376735,0.5451871,-0.03277459,1,0.5,0,0,-0.4999774,0.2255087,0,-0.002202393,-0.002499671,0.2841493,-0.8346523,-0.09434094,0.5426373,1,1,1,0,-0.5000405,-0.2254697,0,-0.003206731,-0.006020071,0.1591589,-0.9929199,-0.1123257,-0.03863972,1,1,0,0,1.821575E-05,0.2254344,0,-0.003502973,-0.0006347897,0.389295,-0.7359672,0.4790516,0.478395,1,0.5,1,0,0.5,-0.225496,0,0,0,0.6342336,-0.5770346,0.8164103,-0.02247861,0,0,0,0,0.5,0.225496,0,0,0,0.7111493,-0.5403892,0.764563,0.3513159,0,0,1
3,0,5.613847E-05,-0.2255557,0,-0.005596036,-0.00675917,0.2060759,-0.7966062,0.6034141,-0.03619403,1,0.5,0,0,-0.4998719,0.2252941,0,0.007462504,-0.02136008,0.2090122,-0.7933071,-0.1041898,0.5998403,1,1,1,0,-0.4999703,-0.2256812,0,-0.00357628,-0.01710952,0.0678885,-0.9904487,-0.130255,-0.04522225,1,1,0,0,3.437446E-05,0.2254692,0,0.001605261,-0.003936143,0.3239512,-0.6826429,0.5170626,0.5163767,1,0.5,1,0,0.5,-0.225496,0,0,0,0.58374,-0.5190031,0.8544485,-0.02352593,0,0,0,0,0.5,0.225496,0,0,0,0.6639971,-0.4832181,0.7955347,0.3655473,0,0,1
4,0,2.682007E-05,-0.2255689,0,-0.002546886,-0.004849585,0.1270155,-0.7325861,0.6794518,-0.04077867,1,0.5,0,0,-0.4999265,0.2254283,0,0.003820659,-0.002445281,0.1304365,-0.7286108,-0.1172624,0.6748155,1,1,1,0,-0.5000547,-0.2255458,0,-0.00217557,-0.002628566,-0.03402519,-0.9857675,-0.1589242,-0.05482229,1,1,0,0,-6.362097E-06,0.2254924,0,-0.004832649,-0.004138799,0.2573045,-0.6065497,0.562513,0.5618511,1,0.5,1,0,0.5,-0.225496,0,0,0,0.5339835,-0.4442458,0.8955656,-0.02465803,0,0,0,0,0.5,0.225496,0,0,0,0.6178187,-0.4109279,0.8283991,0.3806485,0,0,1
5,0,2.73936E-05,-0.2254642,0,-0.001691859,0.003760309,0.06666279,-0.6578374,0.7518182,-0.04493704,1,0.5,0,0,-0.5000266,0.2256469,0,-0.001186133,0.0167653,0.07062614,-0.6532683,-0.1297288,0.7459295,1,1,1,0,-0.500035,-0.225357,0,-0.001867116,0.01679809,-0.1191022,-0.9786668,-0.1943699,-0.06657162,1,1,0,0,7.211075E-05,0.2255424,0,0.003531499,0.004912915,0.2082251,-0.5263467,0.6016055,0.6008576,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4985414,-0.3733165,0.9273526,-0.02553323,0,0,0,0,0.5,0.225496,0,0,0,0.5851183,-0.3435312,0.8533632,0.3921194,0,0,1
6,0,1.626203E-05,-0.2255057,0,0.003774808,0.001864881,0.004615605,-0.5335779,0.8442392,-0.05054482,1,0.5,0,0,-0.4999,0.2255384,0,0.004819037,0.00676513,0.008960366,-0.5290229,-0.145198,0.8360935,1,1,1,0,-0.4999188,-0.2254783,0,0.001771749,0.003959985,-0.2196259,-0.9603303,-0.2636434,-0.09087238,1,1,0,0,2.867637E-05,0.2255251,0,-0.004146868,0.001433492,0.1595973,-0.4082062,0.6458921,0.6451287,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4646878,-0.2791076,0.9598961,-0.02642927,0,0,0,0,0.5,0.225496,0,0,0,0.554049,-0.2554452,0.878517,0.4036776,0,0,1
7,-0.004432864,-0.0003879851,-0.2256526,-0.1502997,0.002867037,-0.01032949,-0.03328648,-0.4066387,0.9119341,-0.05496444,1,0.5,0,-0.003148598,-0.500228,0.2235237,-0.1087222,-0.0006109478,-0.03464074,-0.03051707,-0.4015045,-0.158106,0.9021068,1,1,1,-0.07425122,-0.4956196,-0.2218126,-0.7935171,0.07758442,0.06745535,-0.230341,-0.9627054,-0.2581766,-0.0808897,1,1,0,0.002976094,-0.0002112911,0.2254198,0.1045282,0.001498478,-0.0111036,0.1289186,-0.2899816,0.6770172,0.6764306,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4447121,-0.1961983,0.9801928,-0.02698811,0,0,0,0,0.5,0.225496,0,0,0,0.5357982,-0.178945,0.8939965,0.4107904,0,0,1
8,-0.06435618,0.003843228,-0.221851,-0.4345579,0.05696649,0.02121032,-0.04721457,-0.3105509,0.9493309,-0.04825907,1,0.5,0,-0.08235548,-0.4908482,0.2347362,-1.173457,0.1224444,0.08088651,-0.0327113,-0.3394309,-0.1387755,0.9303376,1,1,1,-0.174883,-0.483487,-0.2066339,-1.229895,0.2284483,0.09058122,-0.2422794,-0.9744649,-0.2230595,-0.02574058,1,1,0,0.01110072,0.0001914229,0.2228463,-0.4060698,-0.01276652,0.01375899,0.1038902,-0.1078938,0.7057432,0.7002039,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4294843,-0.08204199,0.9962513,-0.02743025,0,0,0,0,0.5,0.225496,0,0,0,0.5219285,-0.07462042,0.9061299,0.4163657,0,0,1
9,-0.07762566,0.005611812,-0.2255918,-0.3132356,0.05627186,8.9407E-05,-0.06387582,-0.1309297,0.9896535,-0.05868009,1,0.5,0,-0.2382257,-0.469228,0.2217757,-1.412677,0.3355296,-0.01575798,-0.02338967,-0.4567707,-0.09069883,0.8849487,1,1,1,-0.2914219,-0.4465082,-0.2255233,-0.5429926,0.1544119,-0.1444311,-0.2271307,-0.992775,-0.0751576,-0.09353658,1,1,0,-0.08434976,0.006563545,0.2254497,-0.6553612,0.1046597,0.002686681,0.1100757,-0.1046193,0.7090325,0.697372,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4265783,0.02215038,0.9993759,-0.02751628,0,0,0,0,0.5,0.225496,0,0,0,0.519286,0.02013572,0.908479,0.4174451,0,0,1
10,-0.1335554,0.01818433,-0.2253202,-0.5313239,0.1468509,-0.0004351141,-0.05455166,-0.0493567,0.9971624,-0.056842,1,0.5,0,-0.3851676,-0.4184866,0.2211676,-1.009126,0.4122542,0.004796686,0.002289176,-0.5447021,0.01495832,0.8384962,1,1,1,-0.3665022,-0.4241389,-0.2293288,-0.9410087,0.3552677,0.01235232,-0.2433791,-0.9934211,0.007252316,-0.1142884,1,1,0,-0.1508242,0.02312806,0.2253401,-0.5140291,0.1595185,0.002948941,0.1198154,-0.06333269,0.7246158,0.6862368,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4330454,0.1195757,0.992449,-0.02732556,0,0,0,0,0.5,0.225496,0,0,0,0.5251685,0.1088305,0.9032661,0.4150498,0,0,1
11,-0.1919078,0.03832983,-0.2254519,-0.5058663,0.259414,0.02235771,-0.03467211,0.03596386,0.9978552,-0.0546966,1,0.5,0,-0.466727,-0.380922,0.2242364,-0.4472496,0.2167449,0.03404097,-0.001385838,-0.5176032,0.09040648,0.8508311,1,1,1,-0.4656571,-0.380122,-0.2267224,-1.205251,0.7169071,0.01620651,-0.2375591,-0.9793226,0.1748125,-0.1018224,1,1,0,-0.1980661,0.04073319,0.2254609,-0.2983869,0.1155613,0.02338068,0.1316397,0.01674482,0.7389232,0.6735817,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4495566,0.2197265,0.975192,-0.02685042,0,0,0,0,0.5,0.225496,0,0,0,0.5402186,0.2005759,0.8901975,0.4090448,0,0,1
