frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0,0,-0.225496,0,0,0,0.5618421,0.9156803,0.4011896,-0.02401109,1,0.5,0,0,-0.5,0.225496,0,0,0,0.5639105,0.9139001,-0.06955472,0.3999359,1,1,1,0,-0.5,-0.225496,0,0,0,0.475453,0.9967757,-0.07586219,-0.02613759,1,1,0,0,0,0.225496,0,0,0,0.6436369,0.8501893,0.3724958,0.3720551,1,0.5,1,0,0.5,-0.225496,0,0,0,0.8429477,0.7240102,0.6895279,-0.0189851,0,0,0,0,0.5,0.225496,0,0,0,0.9085118,0.6903086,0.6574315,0.3020891,0,0,1
1,0,0.0001291806,-0.2254619,0,0.001291806,0.0003412366,0.6369753,0.9268384,0.3747919,-0.02239439,1,0.5,0,0,-0.5000197,0.2255708,0,-0.0001966953,0.0007480383,0.6388888,0.9252812,-0.06499288,0.3736719,1,1,1,0,-0.499965,-0.2254625,0,0.0003501773,0.0003354251,0.5566918,0.9972562,-0.06999674,-0.02409638,1,1,0,0,6.125728E-05,0.2255638,0,0.0006125728,0.0006777048,0.7137178,0.8682351,0.3510381,0.3506283,1,0.5,1,0,0.5,-0.225496,0,0,0,0.9030696,0.751062,0.6599815,-0.01817158,0,0,0,0,0.5,0.225496,0,0,0,0.9659472,0.7188475,0.6316735,0.2902533,0,0,1
2,0,3.87327E-05,-0.2255027,0,-0.0009044785,-0.0004081428,0.7073873,0.9354376,0.35286,-0.0211222,1,0.5,0,0,-0.5000437,0.2254063,0,-0.0002408028,-0.001645237,0.709164,0.9340631,-0.06123549,0.3518185,1,1,1,0,-0.5000003,-0.2256047,0,-0.0003531575,-0.001422316,0.6321467,0.9976053,-0.06536282,-0.02261604,1,1,0,0,4.284691E-05,0.2254167,0,-0.0001841036,-0.001470894,0.7798892,0.8824479,0.3328748,0.3323855,1,0.5,1,0,0.5,-0.225496,0,0,0,0.9607364,0.773196,0.6339268,-0.0174542,0,0,0,0,0.5,0.225496,0,0,0,1.021232,0.7424478,0.608717,0.2797048,0,0,1
3,0,1.678952E-05,-0.2255101,0,-0.0002194318,-7.376075E-05,0.7863963,0.9433625,0.3311707,-0.01983064,1,0.5,0,0,-0.4999333,0.2255587,0,0.001104176,0.001523793,0.7881151,0.9421036,-0.05739652,0.3303731,1,1,1,0,-0.4999763,-0.2253493,0,0.0002396107,0.002553612,0.7160548,0.9979303,-0.06083306,-0.02084554,1,1,0,0,8.775193E-05,0.2254471,0,0.0004490502,0.0003038347,0.8547068,0.8957938,0.314524,0.314051,1,0.5,1,0,0.5,-0.225496,0,0,0,1.026696,0.7948787,0.6065387,-0.01670011,0,0,0,0,0.5,0.225496,0,0,0,1.084676,0.7657958,0.5843467,0.2685067,0,0,1
4,0,3.507205E-05,-0.2254521,0,0.0001828253,0.0005801022,0.8607543,0.9495401,0.3130874,-0.01870437,1,0.5,0,0,-0.5000311,0.2256761,0,-0.0009772182,0.001174808,0.8624167,0.9483815,-0.05433804,0.3124419,1,1,1,0,-0.5000264,-0.2252982,0,-0.000500679,0.0005117059,0.7944568,0.9981722,-0.05718723,-0.01954345,1,1,0,0,7.224153E-05,0.2255121,0,-0.0001551041,0.0006508827,0.9255162,0.906402,0.2988898,0.2984969,1,0.5,1,0,0.5,-0.225496,0,0,0,1.089851,0.8127121,0.5824447,-0.01603672,0,0,0,0,0.5,0.225496,0,0,0,1.145607,0.785176,0.5627104,0.2585648,0,0,1
5,0,6.516797E-05,-0.2254888,0,0.0003009592,-0.0003677607,0.9335489,0.9546465,0.2972101,-0.01778023,1,0.5,0,0,-0.4998966,0.2254091,0,0.001344681,-0.002670437,0.9350313,0.9536604,-0.05149475,0.2964458,1,1,1,0,-0.4999777,-0.2256088,0,0.0004866719,-0.003106743,0.8707697,0.9983679,-0.05396803,-0.01868207,1,1,0,0,2.652725E-05,0.2254957,0,-0.0004571428,-0.0001645088,0.9951342,0.9153242,0.284942,0.2845869,1,0.5,1,0,0.5,-0.225496,0,0,0,1.152576,0.8281208,0.5603373,-0.01542803,0,0,0,0,0.5,0.225496,0,0,0,1.206284,0.8020545,0.5426999,0.24937,0,0,1
6,0,4.622321E-05,-0.2255093,0,-0.0001894477,-0.000204742,1.013077,0.9593908,0.281576,-0.01685922,1,0.5,0,0,-0.4999652,0.2256351,0,-0.0006863475,0.002260059,1.014554,0.9584556,-0.04883632,0.2810301,1,1,1,0,-0.5000138,-0.2253632,0,-0.0003609061,0.002456456,0.9537393,0.9985507,-0.05091273,-0.01744685,1,1,0,0,7.997047E-05,0.2255312,0,0.0005344322,0.0003552437,1.071578,0.9236782,0.271116,0.2707668,1,0.5,1,0,0.5,-0.225496,0,0,0,1.222023,0.8429809,0.5377397,-0.01480584,0,0,0,0,0.5,0.225496,0,0,0,1.273629,0.8184533,0.5220935,0.2399014,0,0,1
7,0,4.696816E-05,-0.2254469,0,7.449562E-06,0.0006245077,1.089961,0.9632969,0.2679606,-0.0160047,1,0.5,0,0,-0.5000024,0.2256243,0,-0.000372231,-0.0001078844,1.091366,0.9624466,-0.04650247,0.2674585,1,1,1,0,-0.500048,-0.2253507,0,-0.0003415346,0.0001250207,1.033603,0.9986969,-0.04828367,-0.01653014,1,1,0,0,1.81159E-05,0.2255927,0,-0.0006185457,0.0006143749,1.145732,0.9306526,0.2588624,0.2586039,1,0.5,1,0,0.5,-0.225496,0,0,0,1.289955,0.8556665,0.5173315,-0.01424393,0,0,0,0,0.5,0.225496,0,0,0,1.339656,0.8325493,0.5033549,0.231291,0,0,1
8,0,4.427188E-05,-0.2255416,0,-2.696281E-05,-0.0009475648,1.163646,0.9665308,0.2560908,-0.01535279,1,0.5,0,0,-0.4999169,0.2254498,0,0.0008556247,-0.001744777,1.164939,0.96578,-0.04439615,0.2555348,1,1,1,0,-0.5000144,-0.2254994,0,0.0003355742,-0.001487285,1.109869,0.998817,-0.04597543,-0.01583943,1,1,0,0,4.043485E-05,0.2254938,0,0.0002231895,-0.000988394,1.217005,0.9364939,0.24813,0.2478117,1,0.5,1,0,0.5,-0.225496,0,0,0,1.355715,0.8664935,0.4989991,-0.01373918,0,0,0,0,0.5,0.225496,0,0,0,1.4037,0.8446524,0.4864212,0.22351,0,0,1
9,0,4.909371E-05,-0.2254381,0,4.821832E-05,0.001035482,1.239429,0.9694289,0.2449362,-0.01462437,1,0.5,0,0,-0.5000464,0.2254366,0,-0.001295507,-0.0001324713,1.240669,0.9687385,-0.04253908,0.2444099,1,1,1,0,-0.499969,-0.2256008,0,0.0004541874,-0.001013726,1.188068,0.9989244,-0.04381873,-0.01516572,1,1,0,0,-1.450148E-05,0.225474,0,-0.0005493633,-0.0001980364,1.290514,0.9417703,0.2379124,0.2376268,1,0.5,1,0,0.5,-0.225496,0,0,0,1.423948,0.8764546,0.4813021,-0.01325192,0,0,0,0,0.5,0.225496,0,0,0,1.470272,0.8558478,0.4699859,0.215958,0,0,1
