frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0,6.819074E-05,-0.2255306,0,-0.0004801683,-0.00293553,0.1252363,-0.7307233,0.6814514,-0.04083348,1,0.5,0,0,-0.5000219,0.2254491,0,-0.0009506944,-0.00140816,0.1286659,-0.7267371,-0.1177445,0.6767491,1,1,1,0,-0.4999982,-0.2255269,0,0.0006452205,-0.001682342,-0.03646797,-0.985638,-0.15964,-0.05507037,1,1,0,0,5.88503E-05,0.2255559,0,-0.00157409,-0.0009663407,0.2558826,-0.6044255,0.5636575,0.562992,1,0.5,1,0,0.5,-0.225496,0,0,0,0.5328895,-0.4423269,0.8965141,-0.02468414,0,0,0,0,0.5,0.225496,0,0,0,0.6168067,-0.4090903,0.8291497,0.3809934,0,0,1
1,-0.1154853,0.01341054,-0.2250599,-0.4854424,0.1131662,0.00561327,-0.05487248,-0.1495072,0.9871565,-0.05629833,1,0.5,0,-0.284117,-0.4528157,0.230664,-1.227987,0.3296391,-0.02188982,-0.008572638,-0.478568,-0.05456705,0.8763533,1,1,1,-0.3089171,-0.4475236,-0.2196145,-0.5186515,0.1267449,-0.07629919,-0.2383927,-0.9937854,-0.08227444,-0.07497677,1,1,0,-0.09084639,0.008279406,0.2252132,-0.7337819,0.1242706,0.0154473,0.1092302,-0.0687931,0.7128331,0.6979516,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4276426,0.0527526,0.9982293,-0.02748471,0,0,0,0,0.5,0.225496,0,0,0,0.5202537,0.04796411,0.9076174,0.4170492,0,0,1
2,-0.2215246,0.05137028,-0.2242459,0.218738,-0.1135778,-0.02696515,0.0754571,0.5568413,0.8295497,-0.04213329,1,0.5,0,-0.5772146,-0.268001,0.2485349,-0.4948171,0.4841642,-0.1313501,-0.02314579,-0.07392573,0.3313361,0.9406122,1,1,1,-0.6516905,-0.2015234,-0.1913265,-0.03422202,0.2737225,-0.2482602,-0.2499897,-0.438893,0.8978694,0.03469253,1,1,0,-0.1782065,0.03241036,0.2243839,-0.1598083,0.05548636,0.02146215,0.2228835,0.503202,0.6341414,0.587071,1,0.5,1,0,0.5,-0.225496,0,0,0,0.5732427,0.5049769,0.8628058,-0.02375604,0,0,0,0,0.5,0.225496,0,0,0,0.6542299,0.4695449,0.8022665,0.3686406,0,0,1
3,-0.07288016,0.005245134,-0.224604,0.7464792,-0.1172896,-0.0112474,0.5620399,0.9135555,0.4060536,-0.02316676,1,0.5,0,-0.02241666,-0.4786459,0.2408469,2.31343,0.01227409,0.01147464,0.6130757,0.9170048,-0.04729765,0.3960619,1,1,1,0.03654604,-0.4823881,-0.2062935,2.174028,0.1534507,-0.01188741,0.5811484,0.9986219,-0.05215573,-0.005821158,1,1,0,-0.112906,0.01278031,0.2246099,0.8439734,-0.218549,-0.004705789,0.6127021,0.8359888,0.3943376,0.3816025,1,0.5,1,0,0.5,-0.225496,0,0,0,0.8950663,0.7477154,0.6637678,-0.01827583,0,0,0,0,0.5,0.225496,0,0,0,0.9582889,0.715299,0.6349908,0.2917776,0,0,1
4,0.2049205,0.04375392,-0.2249709,-0.8285108,-0.3969758,-0.001861901,1.306713,0.9655084,0.2600047,-0.01382115,1,0.5,0,0.5663448,-0.3146062,0.2156586,-0.6797972,-0.2550826,-0.0202492,1.64934,0.9797524,0.05182697,0.193389,1,1,1,0.5307273,-0.3354196,-0.2334696,-0.4869046,-0.1069025,-0.04465582,1.572454,0.9989139,0.04370682,-0.01614973,1,1,0,0.2318095,0.05692586,0.2250126,-1.029407,-0.5665265,0.01163632,1.384491,0.939928,0.2562633,0.2255318,1,0.5,1,0,0.5,-0.225496,0,0,0,1.296695,0.8568378,0.5153908,-0.0141905,0,0,0,0,0.5,0.225496,0,0,0,1.346215,0.8338553,0.5015667,0.2304694,0,0,1
5,-0.1323376,0.01783865,-0.2250966,-0.7953796,0.2027177,-0.003481658,1.415423,0.9726946,0.2317183,-0.01310239,1,0.5,0,-0.5205719,-0.3184082,0.2102921,-0.8957568,0.4042359,0.05514251,1.034669,0.961046,0.07010747,0.2673489,1,1,1,-0.4884022,-0.3330491,-0.2393432,-1.174324,0.5768585,0.02858044,1.010434,0.9977647,0.06153924,-0.02604763,1,1,0,-0.1577951,0.02551243,0.2251486,-0.7320705,0.2381723,-0.002370776,1.439491,0.9474983,0.2327994,0.2192063,1,0.5,1,0,0.5,-0.225496,0,0,0,1.699997,0.9070285,0.4209097,-0.0115891,0,0,0,0,0.5,0.225496,0,0,0,1.740621,0.8905834,0.4132783,0.1899009,0,0,1
6,-0.004525639,-0.0001289826,-0.2253672,1.348214,-0.05321036,0.003580005,1.043209,0.9610273,0.2759645,-0.01643794,1,0.5,0,-0.08561479,-0.490275,0.2291088,1.700144,-0.09440336,0.02262891,0.9675847,0.9552954,-0.04379647,0.2923912,1,1,1,-0.105735,-0.4898151,-0.2214471,2.076774,-0.2140821,0.0006943944,0.8834958,0.9988153,-0.04612597,-0.01550213,1,1,0,0.01227674,7.349277E-06,0.2253462,1.227666,-0.002401272,0.005447122,1.116171,0.9280385,0.2635906,0.2631815,1,0.5,1,0,0.5,-0.225496,0,0,0,1.252443,0.8488676,0.5284053,-0.01454883,0,0,0,0,0.5,0.225496,0,0,0,1.303178,0.8249832,0.5135377,0.23597,0,0,1
7,0.1901657,0.03748026,-0.2255104,-0.1323715,-0.05277602,-0.0001937152,0.7822121,0.9321718,0.3614692,-0.01989562,1,0.5,0,0.5532461,-0.3046668,0.226651,-0.3843786,-0.4127266,-0.05336853,1.120222,0.9617952,0.07488676,0.2633287,1,1,1,0.5635433,-0.2949319,-0.2241426,-0.630066,-0.6269249,-0.06911087,1.074271,0.9964102,0.08325639,-0.01533576,1,1,0,0.1877372,0.03656142,0.2254875,-0.01854972,-0.001737104,0.003242494,0.8482605,0.8847054,0.3430802,0.3155825,1,0.5,1,0,0.5,-0.225496,0,0,0,0.8668592,0.735318,0.6774656,-0.01865298,0,0,0,0,0.5,0.225496,0,0,0,0.9313284,0.7021981,0.6469514,0.2972735,0,0,1
8,-0.2050847,0.04309244,-0.2257246,0,0,0,0.06117213,0.5469407,0.8359154,-0.0458409,1,0.5,0,-0.3791992,-0.4250509,0.220571,0,0,0,-0.05895555,0.3011336,0.00215197,0.9535795,1,1,1,-0.2754101,-0.4520377,-0.2175418,0,0,0,-0.2613237,0.9913109,-0.1090921,-0.07349613,1,1,0,-0.2149349,0.04725996,0.2252001,0,0,0,0.2021576,0.4230926,0.6740082,0.6055623,1,0.5,1,0,0.5,-0.225496,0,0,0,0.5584341,0.4837453,0.8748773,-0.02408841,0,0,0,0,0.5,0.225496,0,0,0,0.6404735,0.4489473,0.8119435,0.3730871,0,0,1
9,0.2968149,0.09758313,-0.2238352,0.6966966,0.4999077,0.04038291,0.1083409,0.5076469,0.8606739,-0.03918066,1,0.5,0,0.3070367,-0.4300528,0.1940628,0.95996,0.1098976,-0.4467377,0.007041514,0.629227,-0.007993069,0.7771804,1,1,1,0.3558754,-0.3981429,-0.2531125,0.523548,0.494309,-0.4699828,-0.1272605,0.9869703,0.07473617,-0.1424922,1,1,0,0.2477202,0.06551914,0.2233523,-0.00243038,-0.003861638,-0.06214308,0.198768,0.3716937,0.7034082,0.6058553,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4264287,0.01296105,0.9995372,-0.02752073,0,0,0,0,0.5,0.225496,0,0,0,0.5191501,0.01178186,0.9086002,0.4175008,0,0,1
