frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0.089,1.30605,-0.3766844,-4.450002,-65.30505,5.306492,-0.1598107,-0.2679317,0.8114596,-0.5193707,1,0.5,0,0.089,0.5860077,0.2726121,-4.450002,-59.30344,-0.1054079,0.1548276,-0.1391931,-0.6780292,0.7217351,1,1,1,0.089,0.5859843,-0.3767573,-4.450002,-59.30243,5.306492,-0.01348078,-0.1873461,-0.9126375,-0.36331,1,1,0,0.089,1.305984,0.2727115,-4.450002,-65.30779,-0.111276,0.05491537,-0.1642548,0.497344,0.8518623,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.5156534,-0.08974272,0.9806496,-0.1739907,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.6062472,-0.08239343,0.9003413,0.4273134,0,0,1
1,0.089,1.305941,-0.376743,-4.450002,-65.30563,5.307422,-0.109023,0.5454651,0.7057722,-0.4520548,1,0.5,0,0.089,0.5859203,0.2726749,-4.450002,-59.30803,-0.1079366,0.1827224,0.3123733,-0.6504542,0.6923382,1,1,1,0.089,0.5859857,-0.3767845,-4.450002,-59.29723,5.29881,0.02333844,0.4075074,-0.8484267,-0.3378015,1,1,0,0.089,1.306038,0.2727318,-4.450002,-65.29885,-0.1023174,0.08749801,0.3630043,0.4698534,0.8046526,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.5337919,0.2062932,0.9634435,-0.1709379,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.6229233,0.1899188,0.8869707,0.4209675,0,0,1
2,0.089,1.305935,-0.3767576,-4.450002,-65.3042,5.308167,0.1336386,0.8558875,0.4354765,-0.2789565,1,0.5,0,0.089,0.5860754,0.2726725,-4.450002,-59.30144,-0.09681437,0.3453419,0.6415432,-0.525142,0.5591495,1,1,1,0.089,0.5860179,-0.3768684,-4.450002,-59.29818,5.304677,0.2228534,0.7502536,-0.6142076,-0.2446808,1,1,0,0.089,1.306175,0.2727005,-4.450002,-65.2935,-0.1058594,0.2706057,0.7037625,0.3583871,0.6134143,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.6477624,0.4725049,0.8677754,-0.1539641,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.7286536,0.4413965,0.8106436,0.3847417,0,0,1
3,0.089,1.305857,-0.3766758,-4.450002,-65.30819,5.304587,0.4250802,0.9352022,0.2981977,-0.1909844,1,0.5,0,0.089,0.5860377,0.2729057,-4.450002,-59.29835,-0.1103074,0.5812975,0.8000915,-0.4105829,0.4373502,1,1,1,0.089,0.5859001,-0.3764567,-4.450002,-59.30243,5.303117,0.4883439,0.87534,-0.4493374,-0.1785378,1,1,0,0.089,1.3061,0.272733,-4.450002,-65.29662,-0.1065299,0.5238017,0.845024,0.2696816,0.4617428,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.8310544,0.6499636,0.748279,-0.1327626,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.9014053,0.6173353,0.7107152,0.3373144,0,0,1
4,0.089,1.305943,-0.37669,-4.450002,-65.30696,5.314646,0.5610973,0.9511276,0.2600549,-0.1665163,1,0.5,0,0.089,0.5860122,0.2725837,-4.450002,-59.29764,-0.09965304,0.6995932,0.8413177,-0.3701153,0.3939533,1,1,1,0.089,0.5858725,-0.3767582,-4.450002,-59.31043,5.313684,0.6167166,0.9037557,-0.3977083,-0.1582839,1,1,0,0.089,1.30588,0.2726348,-4.450002,-65.30731,-0.1059399,0.6480664,0.8790771,0.2402995,0.411679,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.9289182,0.7062958,0.6970308,-0.1236699,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.9946699,0.6752253,0.6663679,0.3162667,0,0,1
5,0.089,1.305996,-0.3767458,-4.450002,-65.30608,5.309007,0.264733,0.9035105,0.3609045,-0.2311209,1,0.5,0,0.089,0.5860251,0.272532,-4.450002,-59.30007,-0.1009733,0.4475253,0.7292093,-0.4685625,0.4987012,1,1,1,0.089,0.5859795,-0.3770148,-4.450002,-59.30139,5.304662,0.340174,0.8223823,-0.5284864,-0.2106883,1,1,0,0.089,1.305992,0.2726601,-4.450002,-65.29485,-0.1000718,0.3814665,0.7838576,0.3131057,0.5362201,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.7250093,0.5640318,0.8130551,-0.1442554,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.8011068,0.5310435,0.7655022,0.363317,0,0,1
6,0.089,1.305974,-0.3767114,-4.450002,-65.30339,5.302705,-0.00396058,0.7507054,0.5563553,-0.3562446,1,0.5,0,0.089,0.5860995,0.272644,-4.450002,-59.30404,-0.1100988,0.2477342,0.4980105,-0.5936608,0.6321016,1,1,1,0.089,0.5859417,-0.3767673,-4.450002,-59.30511,5.307615,0.1058885,0.6146007,-0.7329043,-0.2917489,1,1,0,0.089,1.306086,0.2727427,-4.450002,-65.30431,-0.1045496,0.1620993,0.5624224,0.4169856,0.7140057,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.5779195,0.3454613,0.9240023,-0.1639401,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.6636758,0.3200028,0.8559086,0.4062251,0,0,1
7,0.089,1.305941,-0.3766247,-4.450002,-65.29826,5.302526,-0.1680313,0.1611873,0.8312274,-0.5320523,1,0.5,0,0.089,0.5859342,0.2727593,-4.450002,-59.31414,-0.1129091,0.1508141,0.08221877,-0.6823235,0.7264122,1,1,1,0.089,0.585884,-0.3765747,-4.450002,-59.29832,5.304598,-0.01908329,0.1112649,-0.923478,-0.3671627,1,1,0,0.089,1.305914,0.2728176,-4.450002,-65.31049,-0.1024202,0.05004376,0.09728159,0.5016216,0.8595999,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.5129695,0.05282403,0.9832478,-0.1744517,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.6037835,0.04847792,0.9023509,0.4282672,0,0,1
8,0.089,1.305919,-0.3767613,-4.450002,-65.30865,5.297459,-0.07575816,-0.6351424,0.6503807,-0.4166521,1,0.5,0,0.089,0.5862815,0.2726959,-4.450002,-59.2827,-0.1014635,0.2020919,-0.3837874,-0.6319949,0.6732678,1,1,1,0.089,0.5859644,-0.3767416,-4.450002,-59.30855,5.307641,0.04864442,-0.4911268,-0.8093322,-0.3221424,1,1,0,0.089,1.306183,0.272631,-4.450002,-65.29337,-0.1141489,0.1101332,-0.4416315,0.4526598,0.7746359,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.5468283,-0.2574004,0.9514455,-0.1688092,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.6349362,-0.2374178,0.8775824,0.4165117,0,0,1
9,0.089,1.306074,-0.3769716,-4.450002,-65.29988,5.306149,0.175702,-0.8743411,0.408573,-0.2619078,1,0.5,0,0.089,0.5860872,0.2724882,-4.450002,-59.3004,-0.1015008,0.377121,-0.6735605,-0.5061021,0.5386808,1,1,1,0.089,0.5861419,-0.376977,-4.450002,-59.30016,5.311536,0.2598476,-0.7775164,-0.5841408,-0.2329112,1,1,0,0.089,1.306014,0.2725443,-4.450002,-65.3057,-0.1009092,0.305307,-0.7336259,0.3427438,0.5867878,1,0.5,1,0.089,2.026,-0.3767142,-4.450002,-71.30003,5.305954,0.6714443,-0.5043296,0.8502325,-0.1508516,0,0,0,0.089,2.026,0.2727143,-4.450002,-71.30003,-0.1059533,0.7508047,-0.4723312,0.7962874,0.3779281,0,0,1
