frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5,x6,y6,z6,vx6,vy6,vz6,sdf6,nx6,ny6,nz6,md6,u6,v6,x7,y7,z7,vx7,vy7,vz7,sdf7,nx7,ny7,nz7,md7,u7,v7,x8,y8,z8,vx8,vy8,vz8,sdf8,nx8,ny8,nz8,md8,u8,v8,x9,y9,z9,vx9,vy9,vz9,sdf9,nx9,ny9,nz9,md9,u9,v9,x10,y10,z10,vx10,vy10,vz10,sdf10,nx10,ny10,nz10,md10,u10,v10,x11,y11,z11,vx11,vy11,vz11,sdf11,nx11,ny11,nz11,md11,u11,v11,x12,y12,z12,vx12,vy12,vz12,sdf12,nx12,ny12,nz12,md12,u12,v12,x13,y13,z13,vx13,vy13,vz13,sdf13,nx13,ny13,nz13,md13,u13,v13,x14,y14,z14,vx14,vy14,vz14,sdf14,nx14,ny14,nz14,md14,u14,v14,x15,y15,z15,vx15,vy15,vz15,sdf15,nx15,ny15,nz15,md15,u15,v15,x16,y16,z16,vx16,vy16,vz16,sdf16,nx16,ny16,nz16,md16,u16,v16,x17,y17,z17,vx17,vy17,vz17,sdf17,nx17,ny17,nz17,md17,u17,v17,x18,y18,z18,vx18,vy18,vz18,sdf18,nx18,ny18,nz18,md18,u18,v18,x19,y19,z19,vx19,vy19,vz19,sdf19,nx19,ny19,nz19,md19,u19,v19,x20,y20,z20,vx20,vy20,vz20,sdf20,nx20,ny20,nz20,md20,u20,v20,x21,y21,z21,vx21,vy21,vz21,sdf21,nx21,ny21,nz21,md21,u21,v21,x22,y22,z22,vx22,vy22,vz22,sdf22,nx22,ny22,nz22,md22,u22,v22,x23,y23,z23,vx23,vy23,vz23,sdf23,nx23,ny23,nz23,md23,u23,v23,x24,y24,z24,vx24,vy24,vz24,sdf24,nx24,ny24,nz24,md24,u24,v24
0,0,-0.25,0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.25,0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0,0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,0,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0,0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.25,0,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,-0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,-0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.25,-0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0,0,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0,-0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0,-0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
1,0,-0.25,0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.25,0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0,0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,0,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0,0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.25,0,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,-0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.5,-0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.25,-0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0,0,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0,-0.25,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0,-0.5,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
2,0,-0.2499715,0.5000405,0,0.001426042,0.002026559,3.402823E+38,0,0,0,1,0,0,0,-0.4999032,0.2500317,0,0.004839899,0.001583994,3.402823E+38,0,0,0,1,0,0,0,-0.4999427,0.5000558,0,0.002866985,0.002789499,3.402823E+38,0,0,0,1,0,0,0,-0.2499676,0.2499686,0,0.001621992,-0.001572073,3.402823E+38,0,0,0,1,0,0,0,2.569019E-05,0.4999933,0,0.00128451,-0.0003367664,3.402823E+38,0,0,0,1,0,0,0,-0.499899,7.11741E-05,0,0.005048515,0.003558706,3.402823E+38,0,0,0,1,0,0,0,5.946897E-05,0.2499776,0,0.00297345,-0.001121313,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499794,-5.21441E-06,0,0.001031906,-0.0002607206,3.402823E+38,0,0,0,1,0,0,0,-0.4999501,-0.249981,0,0.002494455,0.0009499494,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499247,-0.2500443,0,0.003765525,-0.002217294,3.402823E+38,0,0,0,1,0,0,0,-0.4999204,-0.5000339,0,0.003980102,-0.001695753,3.402823E+38,0,0,0,1,0,0,0,-0.2500131,-0.5000634,0,-0.0006526711,-0.003167988,3.402823E+38,0,0,0,1,0,0,0,1.865073E-05,1.97537E-05,0,0.0009325367,0.0009876852,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-4.601084E-05,-0.2500027,0,-0.002300543,-0.0001356006,3.402823E+38,0,0,0,1,0,0,0,9.614915E-06,-0.499947,0,0.0004807459,0.002652408,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
3,0,-0.2499715,0.5000405,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.4999032,0.2500317,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.4999427,0.5000558,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.2499676,0.2499686,0,0,0,3.402823E+38,0,0,0,1,0,0,0,2.569019E-05,0.4999933,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.499899,7.11741E-05,0,0,0,3.402823E+38,0,0,0,1,0,0,0,5.946897E-05,0.2499776,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499794,-5.21441E-06,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.4999501,-0.249981,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499247,-0.2500443,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.4999204,-0.5000339,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.2500131,-0.5000634,0,0,0,3.402823E+38,0,0,0,1,0,0,0,1.865073E-05,1.97537E-05,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-4.601084E-05,-0.2500027,0,0,0,3.402823E+38,0,0,0,1,0,0,0,9.614915E-06,-0.499947,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
4,0,-0.2499715,0.5000405,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.4999032,0.2500317,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.4999427,0.5000558,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.2499676,0.2499686,0,0,0,3.402823E+38,0,0,0,1,0,0,0,2.569019E-05,0.4999933,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.499899,7.11741E-05,0,0,0,3.402823E+38,0,0,0,1,0,0,0,5.946897E-05,0.2499776,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499794,-5.21441E-06,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.4999501,-0.249981,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499247,-0.2500443,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.4999204,-0.5000339,0,0,0,3.402823E+38,0,0,0,1,0,0,0,-0.2500131,-0.5000634,0,0,0,3.402823E+38,0,0,0,1,0,0,0,1.865073E-05,1.97537E-05,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-4.601084E-05,-0.2500027,0,0,0,3.402823E+38,0,0,0,1,0,0,0,9.614915E-06,-0.499947,0,0,0,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
5,0,-0.2500181,0.5000307,0,-0.002333523,-0.0004917385,3.402823E+38,0,0,0,1,0,0,0,-0.499989,0.2499826,0,-0.004288556,-0.002451987,3.402823E+38,0,0,0,1,0,0,0,-0.5000263,0.5000572,0,-0.004184248,6.854537E-05,3.402823E+38,0,0,0,1,0,0,0,-0.2499971,0.2499892,0,-0.001475216,0.001033396,3.402823E+38,0,0,0,1,0,0,0,8.11476E-06,0.5000275,0,-0.0008787718,0.001713634,3.402823E+38,0,0,0,1,0,0,0,-0.4999551,-1.727409E-06,0,-0.00280589,-0.003645077,3.402823E+38,0,0,0,1,0,0,0,5.605969E-05,0.2499786,0,-0.0001704641,5.36442E-05,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2500001,4.582079E-05,0,-0.001034886,0.002551761,3.402823E+38,0,0,0,1,0,0,0,-0.4999709,-0.2499802,0,-0.001041592,3.874303E-05,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.249922,-0.2500147,0,0.0001363457,0.001482666,3.402823E+38,0,0,0,1,0,0,0,-0.4999917,-0.4999966,0,-0.003562869,0.001864136,3.402823E+38,0,0,0,1,0,0,0,-0.2499935,-0.4999587,0,0.0009790066,0.00523478,3.402823E+38,0,0,0,1,0,0,0,4.365468E-05,-3.113316E-05,0,0.001250198,-0.002544344,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-5.61193E-05,-0.2499965,0,-0.0005054233,0.0003121794,3.402823E+38,0,0,0,1,0,0,0,1.382569E-06,-0.500059,0,-0.0004116175,-0.005602839,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
6,0,-0.2500255,0.5000525,0,-0.0003665687,0.001087785,3.402823E+38,0,0,0,1,0,0,0,-0.4999644,0.250091,0,0.001227856,0.00541881,3.402823E+38,0,0,0,1,0,0,0,-0.4999261,0.5000303,0,0.005014243,-0.001344085,3.402823E+38,0,0,0,1,0,0,0,-0.2500092,0.250068,0,-0.0006087127,0.003940613,3.402823E+38,0,0,0,1,0,0,0,6.128096E-06,0.4999974,0,-9.933326E-05,-0.001505018,3.402823E+38,0,0,0,1,0,0,0,-0.499937,4.225626E-05,0,0.0009074811,0.002199184,3.402823E+38,0,0,0,1,0,0,0,7.191664E-06,0.2499568,0,-0.002443402,-0.001091511,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499868,2.24649E-05,0,0.0006653371,-0.001167795,3.402823E+38,0,0,0,1,0,0,0,-0.4999429,-0.2499735,0,0.0014022,0.0003382565,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499837,-0.2499655,0,-0.003089012,0.002461673,3.402823E+38,0,0,0,1,0,0,0,-0.5000412,-0.4999468,0,-0.002479554,0.002492965,3.402823E+38,0,0,0,1,0,0,0,-0.2500075,-0.499925,0,-0.0007033351,0.001680852,3.402823E+38,0,0,0,1,0,0,0,3.117205E-05,6.461644E-05,0,-0.0006241317,0.004787482,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-3.437702E-05,-0.2499894,0,0.001087115,0.0003531577,3.402823E+38,0,0,0,1,0,0,0,-4.458046E-05,-0.4999669,0,-0.002298152,0.004602971,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
7,0,-0.2499844,0.4999579,0,0.002051891,-0.00472516,3.402823E+38,0,0,0,1,0,0,0,-0.4999544,0.2499873,0,0.0005006792,-0.005187841,3.402823E+38,0,0,0,1,0,0,0,-0.4999472,0.4999634,0,-0.001059473,-0.003345312,3.402823E+38,0,0,0,1,0,0,0,-0.2499549,0.2499657,0,0.002717973,-0.005117061,3.402823E+38,0,0,0,1,0,0,0,3.657144E-05,0.4999746,0,0.001522168,-0.00114292,3.402823E+38,0,0,0,1,0,0,0,-0.4999868,3.307045E-05,0,-0.002491475,-0.0004592906,3.402823E+38,0,0,0,1,0,0,0,5.325717E-05,0.2499317,0,0.002303276,-0.001255423,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.249987,-5.972364E-05,0,-1.117588E-05,-0.004109429,3.402823E+38,0,0,0,1,0,0,0,-0.499957,-0.2500734,0,-0.0007033351,-0.004998596,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499606,-0.2500154,0,0.00115484,-0.002497436,3.402823E+38,0,0,0,1,0,0,0,-0.4999428,-0.5000794,0,0.004920365,-0.00663102,3.402823E+38,0,0,0,1,0,0,0,-0.249969,-0.5000303,0,0.001927466,-0.005261602,3.402823E+38,0,0,0,1,0,0,0,2.465887E-05,-1.76269E-06,0,-0.0003256588,-0.003318958,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-2.493993E-05,-0.2500219,0,0.0004718547,-0.001626462,3.402823E+38,0,0,0,1,0,0,0,3.418156E-05,-0.4999639,0,0.003938103,0.0001519919,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
8,0,-0.2499498,0.499999,0,0.001730026,0.0020504,3.402823E+38,0,0,0,1,0,0,0,-0.4999213,0.2499593,0,0.00165701,-0.001395494,3.402823E+38,0,0,0,1,0,0,0,-0.4999375,0.4999936,0,0.0004872682,0.001510978,3.402823E+38,0,0,0,1,0,0,0,-0.2500165,0.2500199,0,-0.003080071,0.002712013,3.402823E+38,0,0,0,1,0,0,0,5.61013E-05,0.5000148,0,0.0009764938,0.002013148,3.402823E+38,0,0,0,1,0,0,0,-0.4999704,1.391653E-05,0,0.0008225444,-0.0009576961,3.402823E+38,0,0,0,1,0,0,0,1.258537E-06,0.2500103,0,-0.002599933,0.003927202,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499893,1.417579E-05,0,-0.0001169742,0.003694973,3.402823E+38,0,0,0,1,0,0,0,-0.4999801,-0.2500012,0,-0.00115484,0.003610553,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499626,-0.2499437,0,-9.611253E-05,0.003583731,3.402823E+38,0,0,0,1,0,0,0,-0.499942,-0.4999752,0,4.321339E-05,0.005210938,3.402823E+38,0,0,0,1,0,0,0,-0.2499823,-0.4999868,0,-0.0006675723,0.00217259,3.402823E+38,0,0,0,1,0,0,0,1.900539E-05,1.096803E-05,0,-0.0002826742,0.0006365362,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-1.785723E-05,-0.2499497,0,0.0003541347,0.003612043,3.402823E+38,0,0,0,1,0,0,0,4.225451E-05,-0.499963,0,0.0004036475,4.47035E-05,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
9,0,-0.2500551,0.5000288,0,-0.005261602,0.001491607,3.402823E+38,0,0,0,1,0,0,0,-0.4999361,0.2500096,0,-0.000740588,0.002513827,3.402823E+38,0,0,0,1,0,0,0,-0.4999819,0.499974,0,-0.002217294,-0.0009775165,3.402823E+38,0,0,0,1,0,0,0,-0.2499869,0.250012,0,0.001479686,-0.000396371,3.402823E+38,0,0,0,1,0,0,0,-1.749138E-05,0.499999,0,-0.003679636,-0.0007927421,3.402823E+38,0,0,0,1,0,0,0,-0.4999676,-4.008024E-05,0,0.0001370907,-0.00269984,3.402823E+38,0,0,0,1,0,0,0,4.806367E-05,0.2499578,0,0.002340257,-0.00262335,3.402823E+38,0,0,0,1,0,0,0,0.25,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499583,1.024069E-05,0,0.001550466,-0.0001967552,3.402823E+38,0,0,0,1,0,0,0,-0.4999354,-0.2500011,0,0.002232195,5.960467E-06,3.402823E+38,0,0,0,1,0,0,0,0.25,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-0.2499224,-0.2500042,0,0.002010912,-0.003021957,3.402823E+38,0,0,0,1,0,0,0,-0.4999611,-0.5000193,0,-0.0009551648,-0.002203883,3.402823E+38,0,0,0,1,0,0,0,-0.2500002,-0.5000064,0,-0.0008918348,-0.0009775165,3.402823E+38,0,0,0,1,0,0,0,8.506114E-05,6.713955E-06,0,0.003302789,-0.0002127038,3.402823E+38,0,0,0,1,0,0,0,0.25,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,0,0,0,0,3.402823E+38,0,0,0,0,0,0,0,-3.583181E-05,-0.2500017,0,-0.000898729,-0.002600254,3.402823E+38,0,0,0,1,0,0,0,3.392236E-05,-0.499962,0,-0.0004166075,4.917385E-05,3.402823E+38,0,0,0,1,0,0,0,0.25,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.25,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.25,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,3.402823E+38,0,0,0,0,0,0
