frame,x0,y0,z0,vx0,vy0,vz0, sdf0, nx0, ny0, nz0,x1,y1,z1,vx1,vy1,vz1, sdf1, nx1, ny1, nz1,x2,y2,z2,vx2,vy2,vz2, sdf2, nx2, ny2, nz2,x3,y3,z3,vx3,vy3,vz3, sdf3, nx3, ny3, nz3,x4,y4,z4,vx4,vy4,vz4, sdf4, nx4, ny4, nz4,x5,y5,z5,vx5,vy5,vz5, sdf5, nx5, ny5, nz5,x6,y6,z6,vx6,vy6,vz6, sdf6, nx6, ny6, nz6,x7,y7,z7,vx7,vy7,vz7, sdf7, nx7, ny7, nz7,x8,y8,z8,vx8,vy8,vz8, sdf8, nx8, ny8, nz8,x9,y9,z9,vx9,vy9,vz9, sdf9, nx9, ny9, nz9,dx0,dy0,dz0,dx1,dy1,dz1,dx2,dy2,dz2,dx3,dy3,dz3,dx4,dy4,dz4,dx5,dy5,dz5,dx6,dy6,dz6,dx7,dy7,dz7,dx8,dy8,dz8,dx9,dy9,dz9
11,-0.2500286,-0.4998649,0,0.002610684,0.00484884,0,-0.5000219,-0.2499353,0,0.001445413,0.00109002,0,-0.4999779,-0.49992,0,0.00420809,0.004276635,0,-0.2500119,-0.2498928,0,-0.0002697111,0.005245211,0,-1.271624E-05,-0.4998992,0,0.001373132,0.004605951,0,-0.5000311,0.0001206019,0,-0.003141166,0.006658059,0,1.366961E-05,-0.2498603,0,-0.0001451187,0.005921724,0,0.2500122,-0.4999617,0,0.0005662444,-0.002649427,0,-0.2500104,5.451601E-05,0,-0.001344085,-0.0002099799,0,-0.4999837,0.2499468,0,0.002324582,-0.002085418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.018928,2.089552,2.221765,1.87541,1.825292,1.975528,1.66895,1.643372,1.750606,1.882406,-0.7944363,-0.6073475,0,-0.869309,-0.4942689,0,-0.8270653,-0.5621058,0,-0.8424278,-0.5388092,0,-0.7530718,-0.6579384,0,-0.9093536,-0.4160241,0,-0.8073426,-0.5900829,0,-0.700339,-0.7138104,0,-0.8891426,-0.4576302,0,-0.944878,-0.3274224,0
12,-0.2500755,-0.4998749,0,-0.002348424,-0.000497699,0,-0.5000435,-0.2499045,0,-0.001081825,0.001541526,0,-0.5000889,-0.499894,0,-0.005546215,0.001299382,0,-0.2500651,-0.249926,0,-0.002664329,-0.001662225,0,-6.663179E-05,-0.4999431,0,-0.002695779,-0.002193452,0,-0.5000747,0.0001089805,0,-0.002178551,-0.0005810673,0,-3.719106E-05,-0.2498986,0,-0.002543034,-0.001915545,0,0.2499088,-0.4999533,0,-0.00517294,0.0004187228,0,-0.2500464,0.0001150371,0,-0.001801551,0.003026055,0,-0.499994,0.2499651,0,-0.00051111,0.0009141866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.941927,2.004925,2.141452,1.793613,1.752564,1.886903,1.59078,1.576056,1.664034,1.790139,-0.7794189,-0.6265031,0,-0.8596075,-0.5109551,0,-0.8151948,-0.5791868,0,-0.8298147,-0.5580391,0,-0.7339526,-0.6792006,0,-0.9021245,-0.4314758,0,-0.7907315,-0.612163,0,-0.6759453,-0.7369519,0,-0.8794941,-0.4759097,0,-0.9402062,-0.3406059,0
13,-0.2500342,-0.4999934,0,0.002065302,-0.005923214,0,-0.4999989,-0.2499784,0,0.002230705,-0.003696234,0,-0.500015,-0.4999564,0,0.003692509,-0.003121794,0,-0.2499619,-0.2500113,0,0.005161019,-0.004260989,0,-2.469806E-05,-0.4999523,0,0.002096687,-0.0004619362,0,-0.5000924,3.031144E-05,0,-0.0008851293,-0.003933456,0,5.499007E-05,-0.2499391,0,0.004609059,-0.002027304,0,0.2500259,-0.4999793,0,0.005853924,-0.001297892,0,-0.2500443,-2.733621E-05,0,0.0001072884,-0.007118668,0,-0.4999808,0.2499899,0,0.0006571414,0.001239032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837763,1.889297,2.03204,1.682299,1.654926,1.765305,1.485183,1.486803,1.545788,1.663039,-0.7560889,-0.6544688,0,-0.8443999,-0.5357135,0,-0.7968033,-0.6042387,0,-0.8099185,-0.5865424,0,-0.7042226,-0.7099792,0,-0.8906592,-0.4546715,0,-0.7643968,-0.6447461,0,-0.6379581,-0.7700711,0,-0.8640029,-0.5034868,0,-0.9327172,-0.3606085,0
14,-0.24996,-0.4999299,0,0.003711136,0.003173948,0,-0.4999574,-0.2499409,0,0.002072752,0.001871587,0,-0.5000119,-0.4998486,0,0.0001549721,0.005389752,0,-0.2499705,-0.2499292,0,-0.0004306437,0.004103781,0,0.0001039433,-0.5000168,0,0.00643207,-0.003224612,0,-0.4999185,9.38916E-05,0,0.008696321,0.003179009,0,0.0001049649,-0.2499712,0,0.002498742,-0.001603366,0,0.2501037,-0.5000004,0,0.003892185,-0.001055003,0,-0.249927,7.791688E-05,0,0.005866589,0.005262657,0,-0.5000404,0.2500243,0,-0.002980233,0.001721085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.763059,1.805486,1.953093,1.602143,1.585723,1.676597,1.409872,1.424563,1.459944,1.570193,-0.7368602,-0.6760452,0,-0.8317357,-0.5551718,0,-0.7817111,-0.6236407,0,-0.7932709,-0.6088688,0,-0.6796175,-0.7335666,0,-0.8809698,-0.4731725,0,-0.7421925,-0.6701867,0,-0.6066282,-0.7949857,0,-0.8508025,-0.5254856,0,-0.926309,-0.3767647,0
15,-0.2500375,-0.4999247,0,-0.003876539,0.0002607704,0,-0.4999959,-0.2499374,0,-0.001925231,0.0001773239,0,-0.5000972,-0.4998896,0,-0.004264714,-0.002051891,0,-0.2500059,-0.2499521,0,-0.001768023,-0.001146645,0,6.672701E-06,-0.49996,0,-0.004863532,0.002840162,0,-0.4999278,0.0001091231,0,-0.0004693868,0.0007615762,0,-4.647367E-06,-0.2499201,0,-0.005480614,0.002554805,0,0.2499987,-0.4999889,0,-0.005251916,0.0005707147,0,-0.2500417,7.053649E-05,0,-0.005735459,-0.0003690193,0,-0.5000151,0.2499455,0,0.001263619,-0.003941359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.668556,1.697952,1.852377,1.500037,1.499174,1.562325,1.314978,1.348212,1.350064,1.449694,-0.7087062,-0.7055037,0,-0.8129512,-0.5823318,0,-0.759627,-0.650359,0,-0.7684047,-0.6399642,0,-0.6436785,-0.7652961,0,-0.8663812,-0.4993834,0,-0.7090096,-0.7051988,0,-0.5609924,-0.827821,0,-0.8307139,-0.5566995,0,-0.9164755,-0.4000907,0
16,-0.2500278,-0.4999662,0,0.0004857781,-0.002077223,0,-0.5000589,-0.2499862,0,-0.003147126,-0.002439321,0,-0.4999831,-0.5000136,0,0.005704167,-0.006200376,0,-0.2500032,-0.2499681,0,0.0001370907,-0.0008009377,0,-4.61061E-05,-0.4999582,0,-0.002638941,9.238724E-05,0,-0.4999947,3.378282E-05,0,-0.003340842,-0.003767016,0,-9.127649E-05,-0.2499189,0,-0.004331458,6.183984E-05,0,0.2499997,-0.4999177,0,4.991891E-05,0.003562869,0,-0.2500309,5.274449E-05,0,0.000536442,-0.0008896008,0,-0.5000595,0.2500569,0,-0.002220274,0.005573037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.596798,1.615096,1.775072,1.421981,1.434472,1.473799,1.243477,1.292364,1.26538,1.355688,-0.6838017,-0.729668,0,-0.7960986,-0.605167,0,-0.7400861,-0.6725121,0,-0.745985,-0.6659628,0,-0.6119561,-0.7908917,0,-0.853056,-0.5218194,0,-0.6790211,-0.7341188,0,-0.5209692,-0.8535755,0,-0.8121749,-0.5834141,0,-0.9073859,-0.4202985,0
17,-0.2500289,-0.4999391,0,-5.36442E-05,0.001357496,0,-0.4999967,-0.2499023,0,0.003108383,0.004193934,0,-0.5000669,-0.4999226,0,-0.004187228,0.004553797,0,-0.2499675,-0.2499619,0,0.00178516,0.0003136696,0,-6.801161E-05,-0.500022,0,-0.001095276,-0.00319183,0,-0.4999605,0.0001026101,0,0.001707674,0.003441365,0,-1.710273E-05,-0.2500055,0,0.003708689,-0.004331769,0,0.2499852,-0.5001184,0,-0.0007219616,-0.01003743,0,-0.2499709,6.897666E-05,0,0.00300184,0.000811609,0,-0.4999914,0.2499983,0,0.003407897,-0.002930315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.508353,1.510932,1.678665,1.325078,1.356282,1.361794,1.156238,1.22712,1.159329,1.236112,-0.6478263,-0.761788,0,-0.7712998,-0.6364721,0,-0.7119507,-0.7022294,0,-0.7128476,-0.701319,0,-0.5662408,-0.8242398,0,-0.8330652,-0.5531748,0,-0.634602,-0.7728391,0,-0.4638067,-0.8859364,0,-0.7840552,-0.6206911,0,-0.8933907,-0.4492807,0
18,-0.2500521,-0.4999461,0,-0.001160801,-0.0003531577,0,-0.5000075,-0.2499546,0,-0.000536442,-0.00261292,0,-0.5000548,-0.4998849,0,0.0006020071,0.001882017,0,-0.2500216,-0.2500087,0,-0.002707542,-0.002340228,0,-3.992463E-05,-0.4999791,0,0.001404349,0.002142788,0,-0.4999923,9.305519E-05,0,-0.001586974,-0.0004777458,0,5.888609E-05,-0.2499316,0,0.003799442,0.003693999,0,0.2499922,-0.5000421,0,0.0003471972,0.003817679,0,-0.2499697,3.818479E-05,0,6.183984E-05,-0.001539594,0,-0.4999572,0.2499776,0,0.001710654,-0.001034141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444583,1.434286,1.608047,1.254713,1.301067,1.278719,1.094065,1.182663,1.081547,1.146653,-0.617242,-0.7867734,0,-0.7497515,-0.6617195,0,-0.6879737,-0.7257356,0,-0.6840138,-0.7294691,0,-0.5276129,-0.8494849,0,-0.8153162,-0.579016,0,-0.5960657,-0.8029357,0,-0.4161462,-0.9092977,0,-0.7588745,-0.6512368,0,-0.8806854,-0.4737017,0
19,-0.2499628,-0.5000907,0,0.00446588,-0.007227066,0,-0.5000253,-0.250017,0,-0.00089407,-0.003122539,0,-0.5000192,-0.5000858,0,0.00178218,-0.01004488,0,-0.2499927,-0.250023,0,0.001443178,-0.0007182363,0,-7.135583E-05,-0.499944,0,-0.001571561,0.001756848,0,-0.5000347,-5.203151E-05,0,-0.002121926,-0.007254338,0,-9.808761E-05,-0.2499405,0,-0.007848687,-0.0004425647,0,0.2499834,-0.49995,0,-0.0004388394,0.004605951,0,-0.2501004,-3.070049E-05,0,-0.006538632,-0.003444265,0,-0.5000046,0.2500562,0,-0.002370776,0.003930183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.367118,1.338769,1.520835,1.168375,1.235899,1.174414,1.020168,1.132708,0.9853317,1.03326,-0.5730888,-0.8194933,0,-0.7179187,-0.696127,0,-0.6532352,-0.7571551,0,-0.6413752,-0.7672274,0,-0.4724542,-0.8813552,0,-0.7883931,-0.6151717,0,-0.5395193,-0.8419733,0,-0.3491611,-0.9370627,0,-0.7204869,-0.6934685,0,-0.8609538,-0.5086832,0
20,-0.2499496,-0.4998873,0,0.0006608667,0.01016856,0,-0.4999707,-0.2499664,0,0.002729894,0.002533198,0,-0.4999499,-0.4999642,0,0.003466011,0.006079676,0,-0.250012,-0.2499751,0,-0.0009633605,0.002396853,0,3.149738E-05,-0.4999423,0,0.005142662,8.642677E-05,0,-0.4999358,4.774613E-05,0,0.004942717,0.004988884,0,2.090136E-05,-0.2499273,0,0.005949451,0.0006601217,0,0.2500859,-0.4999371,0,0.005126001,0.0006422403,0,-0.24992,8.318569E-05,0,0.009021167,0.005694311,0,-0.4999542,0.2499486,0,0.002519787,-0.005380812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.309838,1.266151,1.454921,1.104187,1.189598,1.094268,0.9670541,1.099594,0.9126674,0.9454809,-0.5342646,-0.8453174,0,-0.6890426,-0.7247208,0,-0.6224971,-0.7826221,0,-0.6027943,-0.7978966,0,-0.4243323,-0.9055066,0,-0.7633083,-0.6460344,0,-0.4887084,-0.8724472,0,-0.2918845,-0.9564536,0,-0.6844516,-0.7290582,0,-0.8418905,-0.5396483,0
21,-0.2499934,-0.5000296,0,-0.002189727,-0.007113817,0,-0.5000799,-0.2499639,0,-0.005456808,0.0001244247,0,-0.5000374,-0.499978,0,-0.004374983,-0.0006884339,0,-0.2500594,-0.2500012,0,-0.002367795,-0.001304597,0,-4.201736E-05,-0.5000174,0,-0.003675739,-0.003756584,0,-0.5000793,1.303418E-05,0,-0.007174912,-0.001735598,0,-6.182949E-05,-0.2499911,0,-0.004136544,-0.003191085,0,0.2499842,-0.4999453,0,-0.005086513,-0.0004068019,0,-0.2500512,-2.325511E-05,0,-0.006558004,-0.005322042,0,-0.5000009,0.2499459,0,-0.002335013,-0.0001356006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242373,1.1771,1.374859,1.027543,1.137556,0.9950683,0.906782,1.065896,0.8251108,0.8351669,-0.4784229,-0.8781295,0,-0.6461616,-0.7632006,0,-0.5779821,-0.8160495,0,-0.5457504,-0.8379477,0,-0.3564092,-0.93433,0,-0.7248346,-0.688923,0,-0.4148899,-0.9098716,0,-0.2130497,-0.9770414,0,-0.6291165,-0.777311,0,-0.811583,-0.5842371,0
