x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
-0.2215246,0.05137028,-0.2242459,-0.5772146,-0.268001,0.2485349,-0.6516905,-0.2015234,-0.1913265,-0.1782065,0.03241036,0.2243839,0,0.5,-0.225496,0,0.5,0.225496
-0.07288016,0.005245134,-0.224604,-0.02241666,-0.4786459,0.2408469,0.03654604,-0.4823881,-0.2062935,-0.112906,0.01278031,0.2246099,0,0.5,-0.225496,0,0.5,0.225496
0.2049205,0.04375392,-0.2249709,0.5663448,-0.3146062,0.2156586,0.5307273,-0.3354196,-0.2334696,0.2318095,0.05692586,0.2250126,0,0.5,-0.225496,0,0.5,0.225496
-0.1323376,0.01783865,-0.2250966,-0.5205719,-0.3184082,0.2102921,-0.4884022,-0.3330491,-0.2393432,-0.1577951,0.02551243,0.2251486,0,0.5,-0.225496,0,0.5,0.225496
-0.004525639,-0.0001289826,-0.2253672,-0.08561479,-0.490275,0.2291088,-0.105735,-0.4898151,-0.2214471,0.01227674,7.349277e-06,0.2253462,0,0.5,-0.225496,0,0.5,0.225496
0.1901657,0.03748026,-0.2255104,0.5532461,-0.3046668,0.226651,0.5635433,-0.2949319,-0.2241426,0.1877372,0.03656142,0.2254875,0,0.5,-0.225496,0,0.5,0.225496
-0.2050847,0.04309244,-0.2257246,-0.3791992,-0.4250509,0.220571,-0.2754101,-0.4520377,-0.2175418,-0.2149349,0.04725996,0.2252001,0,0.5,-0.225496,0,0.5,0.225496
0.2968149,0.09758313,-0.2238352,0.3070367,-0.4300528,0.1940628,0.3558754,-0.3981429,-0.2531125,0.2477202,0.06551914,0.2233523,0,0.5,-0.225496,0,0.5,0.225496
0.09656369,0.00923044,-0.2235921,0.4766158,-0.2339816,0.2754452,0.5535794,-0.1854139,-0.1662974,0.03865389,0.001469732,0.2236855,0,0.5,-0.225496,0,0.5,0.225496
0.1595861,0.02599575,-0.2243892,0.3071736,-0.4461658,0.2322692,0.2468412,-0.4661532,-0.2142382,0.2023365,0.04266872,0.2243977,0,0.5,-0.225496,0,0.5,0.225496
-0.2568309,0.07076652,-0.2250637,-0.5559328,-0.3312776,0.2243894,-0.5527379,-0.3323692,-0.2265236,-0.2802236,0.08589755,0.225018,0,0.5,-0.225496,0,0.5,0.225496
0.03707042,0.001208563,-0.2253993,0.3012907,-0.41743,0.2303482,0.2789495,-0.4364514,-0.2196527,0.02665579,0.0004826536,0.2254663,0,0.5,-0.225496,0,0.5,0.225496
0.1504236,0.02317964,-0.2253782,0.3044089,-0.4516508,0.2264657,0.3227623,-0.4461617,-0.2241329,0.131641,0.01764138,0.2251754,0,0.5,-0.225496,0,0.5,0.225496
-0.1821695,0.03433838,-0.2252058,-0.5350702,-0.3069387,0.2355512,-0.5626919,-0.2897819,-0.214288,-0.1634615,0.02737683,0.2253484,0,0.5,-0.225496,0,0.5,0.225496
0.110966,0.01223251,-0.2255604,0.1769407,-0.4841651,0.2235309,0.2289621,-0.4735396,-0.2243542,0.09676719,0.009387682,0.2253199,0,0.5,-0.225496,0,0.5,0.225496
-0.1979138,0.04037581,-0.2251576,-0.277907,-0.4472452,0.2312326,-0.3025557,-0.448461,-0.2190942,-0.2162451,0.04882718,0.2253269,0,0.5,-0.225496,0,0.5,0.225496
-0.1286167,0.0161466,-0.2213669,-0.4371526,-0.303602,0.2812699,-0.5656272,-0.2137763,-0.1417065,-0.04538169,0.00155686,0.2218885,0,0.5,-0.225496,0,0.5,0.225496
-0.1827348,0.03438843,-0.2248282,-0.3074028,-0.4422654,0.2334492,-0.238224,-0.4623101,-0.2118306,-0.2177416,0.04949264,0.2246761,0,0.5,-0.225496,0,0.5,0.225496
0.2586759,0.07204381,-0.2251827,0.5541136,-0.3326008,0.224066,0.5674083,-0.3214148,-0.2266399,0.2774965,0.08397964,0.2252481,0,0.5,-0.225496,0,0.5,0.225496
-0.03164317,0.0008556043,-0.2252537,-0.2885471,-0.415441,0.2373351,-0.2990108,-0.4215278,-0.2134545,-0.01066299,-5.397032e-05,0.225273,0,0.5,-0.225496,0,0.5,0.225496
-0.1647918,0.02776431,-0.2253064,-0.3464418,-0.4378485,0.225901,-0.3257087,-0.4455329,-0.2245799,-0.1840798,0.03508902,0.2251949,0,0.5,-0.225496,0,0.5,0.225496
0.1558856,0.0248172,-0.2254165,0.566693,-0.2747751,0.2158265,0.5381867,-0.2972504,-0.2336852,0.1700577,0.02964353,0.2253668,0,0.5,-0.225496,0,0.5,0.225496
-0.08930216,0.008047967,-0.2254058,-0.2209412,-0.4753546,0.2244767,-0.1899571,-0.4816465,-0.2254207,-0.1046517,0.01093571,0.2253707,0,0.5,-0.225496,0,0.5,0.225496
0.2171965,0.04958747,-0.2254179,0.3045674,-0.4384582,0.2301889,0.3082274,-0.4421217,-0.2207774,0.2298083,0.05579618,0.2254095,0,0.5,-0.225496,0,0.5,0.225496
0.1110789,0.01181638,-0.2198818,0.4093204,-0.2978555,0.296317,0.5433442,-0.2220642,-0.1276578,0.01483058,-0.0001392042,0.2208244,0,0.5,-0.225496,0,0.5,0.225496
0.2083015,0.0453382,-0.225383,0.2529693,-0.4537942,0.2242595,0.2475058,-0.4531251,-0.2266755,0.2049792,0.04396257,0.2255728,0,0.5,-0.225496,0,0.5,0.225496
-0.282764,0.08747078,-0.2253909,-0.4990596,-0.3657764,0.2220834,-0.5478663,-0.3364862,-0.2252263,-0.2685446,0.07787532,0.2253087,0,0.5,-0.225496,0,0.5,0.225496
